title,company_name,location,from,Benefits,Qualifications,Responsibilities,applyLink,thumbnail,benefits_keywords,qualification_keywords,responsibilities_keywords
Data Scientist,Mass General Brigham,"Boston, MA",via SonicJobs,,proficiency sql python matlab required experience gcp awz cloud computing prefered specifically healthcare data demonstrated ability managing analyzing time series data data electronic health record using language one following python matlab r c expertise relational no sql database management analyze data batch facility tools trade e g unix system administration shell scripting building deployment tools version control proven ability meet deadlines work cooperatively small collaborative team demonstrated capability highly organized creative problem solver detail oriented self motivated able work independently well within cross functional teams ability adapt rapidly changing high demand environments comfort probability statistical testing confidence intervals linear algebra data analysis experience processing analyzing biological data excellent written oral communication skills licenses certifications registrations applicable master degree biostatistics computer science neuroscience data science related field,working neuroscience data center director co director supported project manager individual enables highly granular retrospective prospective studies using mgh data archives via continual capture new data projects may include analysis structured unstructured ehr data well imaging time series physiology blood pressure intracranial pressure ecg telemetry eeg meeting users understand user stories develop project plan developing deploying tools interact clinical information systems existing databases software systems performing analysis data individual project scale generating confidence intervals measures precision analyzing data different sources including structured unstructured imaging waveform data curating specific ai ready dataset optimization machine learning deep learning pipelines developing software generates insightful summaries large complex datasets under general direction developing innovative analytical methods help collaborators interpret results design follow research visualizing data analysis well business intelligence platforms tableau working healthcare data understanding concepts admission discharge transfer information medications route orders well high resolution physiologic waveform signal providing support neurology researchers develop implement data analyses contribute manuscript preparation project team reports actively participate project team meetings provide necessary technical tutorials elevate team understanding modern software stacks design write test tune document deploy maintain support new features analysis methods infrastructure maintain computing infrastructure software deployments mentor teammates less engineering experience share knowledge computer science best practices team leverage systems developed data engineers including cloud based analysis federated learning refine software development processes best practices generating figures visualization presenting findings group meetings the data scientist work within team physicians clinical research coordinators physician scientist neurologists work performed center neurotechnology neurorecovery laboratory space collaboration academic hospitals massachusetts general hospital main campus,https://www.sonicjobs.com/us/jobs/boston/data-scientist/data-scientist-63f04bff6e7d7e596608025f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('sql python matlab required', 0.4376), ('master degree biostatistics computer', 0.4395), ('data analysis experience', 0.4421), ('python matlab expertise', 0.4489), ('biostatistics computer science', 0.4561), ('data demonstrated ability managing', 0.4694), ('data science related field', 0.4745), ('skills licenses certifications', 0.4813), ('required experience gcp awz', 0.5033), ('proficiency sql python', 0.5444)]","[('working neuroscience data', 0.4446), ('new data projects include', 0.4462), ('data engineers including', 0.4508), ('implement data analyses contribute', 0.4515), ('develop implement data analyses', 0.455), ('neurologists work performed', 0.4577), ('neuroscience data center director', 0.4649), ('clinical information systems', 0.4713), ('providing support neurology researchers', 0.4779), ('clinical information systems existing', 0.479)]"
Data Scientist,Pfizer,"Groton, CT",via Adzuna,,knowledge fundamental descriptive inferential statistics models strong computational programming skills proficient programming r python sql equivalent knowledge variety commercial computational packages familiar linux aws cloud computing high performance computing environment knowledge data visualization tools spotfire tableau good team player demonstrated ability build effective working relationships within across sites customers partners the flexibility balance many projects customers simultaneously the ability independent learn new skills quickly demonstrated ability independently develop deploy statistical computation applets using python r exceptional oral written communication skills coursework scientific discipline chemistry biology engineering prior experience working pharmaceutical research development experience ml ai development deployment experience text mining,bridge statisticians analytical scientists partner line subject matter experts database informatics enable data connection data driven models computational applications work statisticians analytical scientists extract historical data structured unstructured databases create machine readable data format turn data information portfolio support member community data standardization formatting working partner lines identify use cases good practice demonstrate leadership influencing improving workflows identifying data analytics problems implement quantitative methods needed solve problems pharmaceutical research relocation support available,https://www.adzuna.com/details/3890060954?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkRWBJqRwMe9sOQD6H8o9sadEkSvLCfLjkIMkJ&s=0,[],"[('development experience ml ai', 0.4305), ('knowledge variety commercial computational', 0.4316), ('sql equivalent knowledge variety', 0.4335), ('python sql equivalent knowledge', 0.4336), ('new skills quickly demonstrated', 0.447), ('skills quickly demonstrated ability', 0.451), ('proficient programming python sql', 0.4631), ('research development experience ml', 0.4649), ('computational programming skills', 0.5016), ('skills coursework scientific', 0.5109)]","[('data analytics problems', 0.464), ('analytical scientists partner', 0.4797), ('data driven models computational', 0.4848), ('analytics problems implement quantitative', 0.4924), ('experts database informatics enable', 0.4995), ('workflows identifying data analytics', 0.5038), ('analytical scientists partner line', 0.5053), ('work statisticians analytical', 0.5066), ('informatics enable data', 0.5098), ('applications work statisticians', 0.5755)]"
"Data Science Graduate Intern (Atlanta, GA)",Kaiser Permanente,"Atlanta, GA",via Built In,,machine learning deep learning nlp python experience search recommendations would bonus required n a bachelors degree required pursuing graduate degree completed graduate program accredited university within last year aptitude perform data process analytics formulating solutions proven ability build effective working relationships well strong interpersonal skills working knowledge ms word excel powerpoint ability learn quickly experience producing high quality work short periods time,in particular search team works understand search query intent providing relevant search content navigation links help users leverage kp website better health information service search data scientists build models classify user intent rank search results improved relevancy analyze performance user behavior identify improvements develop behavioral models technical contributions search personalization other projects related query understanding contributing designated project initiative meet kp business objective working hours start eight zero am pay range fifty four thousand one hundred sixty nine thousand nine hundred sixty,https://builtin.com/job/internship/data-science-graduate-intern/1632982?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtBD0z0y2moWBzhXEu6ByHEhx0vv5b-c4KTZJ1l2guPrJxzdzPQ3eCws8&s,[],"[('accredited university year aptitude', 0.3768), ('degree required pursuing graduate', 0.3769), ('skills working knowledge', 0.3825), ('required bachelors degree required', 0.4128), ('recommendations bonus required bachelors', 0.4273), ('skills working knowledge ms', 0.4305), ('learning nlp python', 0.4311), ('learning deep learning nlp', 0.4317), ('deep learning nlp', 0.4402), ('nlp python experience search', 0.4763)]","[('results improved relevancy analyze', 0.4483), ('relevancy analyze performance user', 0.4536), ('works understand search query', 0.4559), ('personalization projects related query', 0.4596), ('relevancy analyze performance', 0.4599), ('information service search', 0.4786), ('technical contributions search personalization', 0.4789), ('works understand search', 0.4988), ('search team works', 0.5184), ('service search data scientists', 0.5224)]"
Data Scientist II,Cox Communications,"Marietta, GA",via My ArkLaMiss Jobs,,bachelor degree data science machine learning statistics mathematics computer science operations research analytics engineering related technical discipline two years related experience or ms degree data science machine learning statistics mathematics computer science operations research analytics engineering related technical discipline two years related experience strong programming skills ability utilize variety software languages tools familiarity database technology oracle hadoop emr etc ability successfully comprehend communicate business insights,this role responsible developing actionable insights building advanced analytics solutions cox communications lines businesses the data scientist required strong development systems problem solving skills enable data driven decision making identify research interpret catalog source manipulate enrich cox communications structured unstructured data assets facilitate effective analytics use foundational data science methodologies identify relationships drivers key metrics improve customer experience network performance proactive labor routing quality service operating cost build maintain processes functionalities analytics solution needs prepare documentation visualizations keep date new technologies standards practices first offer highly competitive compensation package base salary excellent commission plan rewarding strong performance four hundred one k generous company match comprehensive healthcare life disability benefits plus numerous benefits including adoption assistance pet insurance discounts travel cars we also offer boundless opportunities growth sharpen skills learn new talent join mentoring program even earn advanced degree benefits working cox may include health care insurance medical dental vision retirement planning four hundred one k paid days sick leave parental leave flexible vacation wellness days pto,https://jobs.myarklamiss.com/jobs/data-scientist-ii-marietta-georgia/918401063-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('years related experience strong', 0.4417), ('bachelor degree data', 0.4445), ('mathematics computer science', 0.4447), ('computer science operations research', 0.4475), ('strong programming skills ability', 0.458), ('programming skills ability utilize', 0.472), ('years related experience', 0.4809), ('experience ms degree', 0.4878), ('technical discipline years related', 0.5016), ('bachelor degree data science', 0.5879)]","[('numerous benefits including', 0.3857), ('plus numerous benefits', 0.3873), ('analytics solutions cox communications', 0.3879), ('working cox include health', 0.3912), ('businesses data scientist', 0.3922), ('skills enable data', 0.3925), ('functionalities analytics solution', 0.3961), ('opportunities growth sharpen skills', 0.4084), ('working cox include', 0.4343), ('insights building advanced', 0.4424)]"
Senior Analytics Consultant - Enterprise Analytics & Data Science,WELLS FARGO BANK,"Charlotte, NC",via Glassdoor,,four years analytics experience equivalent demonstrated one combination following work experience training military experience education three years business intelligence experience this role sponsor h one b visa transfer h one b visa candidate master degree higher,review research moderately complex business operational technical challenges require depth evaluation variable factors perform complex financial economic analysis model development plan coordinate execute primary secondary customer market projects manage participate large cross group projects mentor less experienced staff collaborate consult peers colleagues external contractors managers resolve issues achieve goals,"https://www.glassdoor.com/job-listing/senior-analytics-consultant-enterprise-analytics-and-data-science-wells-fargo-JV_IC1138644_KO0,65_KE66,77.htm?jl=1008469631578&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkz0hI_DhMmAPtatbG94eh5lmfnTS95LTqYUiFlCw&s,[],"[('education years business', 0.4845), ('training military experience education', 0.4847), ('analytics experience equivalent', 0.4854), ('military experience education', 0.4881), ('experience role sponsor visa', 0.5021), ('intelligence experience role sponsor', 0.5063), ('following work experience training', 0.5236), ('business intelligence experience', 0.5629), ('years analytics experience', 0.5673), ('education years business intelligence', 0.5687)]","[('resolve issues achieve goals', 0.4397), ('experienced staff collaborate consult', 0.4427), ('peers colleagues external contractors', 0.4431), ('secondary customer market projects', 0.4443), ('managers resolve issues', 0.4484), ('operational technical challenges', 0.4831), ('external contractors managers', 0.4866), ('moderately complex business', 0.4966), ('operational technical challenges require', 0.5257), ('research moderately complex business', 0.5562)]"
AI/ML Health Data Scientist- Consultant,Guidehouse,"Fayetteville, GA",via Nexxt,,security clearance ability obtain public trust clearance us citizenship contractually required position minimum years relevant experience one three education b s b a statistics mathematics operations research computer science information systems engineering economics data science data analytics similar quantitative discipline experience working analytical models methods applications tools proficiency geographic information systems gis working spatial datasets proficiency arcgis qgis basic proficiency analytics programming language r python sas visualization skills tools tableau power bi r shiny skills capabilities knowledge applying advanced analytical approaches health insurance claims data analyzing large complex claims data sets strong aptitude conducting quantitative qualitative analysis proficiency sas sql selected candidate must able work eastern standard hours education m s m a statistics mathematics computer science economics business healthcare administration public health data science data analytics similar discipline contributing team member understanding personal team roles contributing positive working environment building strong collaborative relationships team members collaborating working team environment well ability work independently communicating effectively various audiences including various levels management external clients professional environment knowledge healthcare sector including domains public health payer provider pharmaceutical life sciences,the health insurance claims analytics senior consultant focuses specifically applying healthcare administrative data claims address clients challenges across healthcare sector including public health payer provider pharmaceutical life sciences industry selecting applying appropriate analytical techniques analyzing large complex data sets strong aptitude conducting quantitative qualitative analysis statistical analysis predictive modelling simulation machine learning identifying addressing client needs building relationships clients demonstrating flexibility prioritizing completing tasks communicating potential conflicts supervisor guidehouse offers comprehensive total rewards package includes competitive compensation flexible benefits package reflects commitment creating diverse supportive workplace medical rx dental vision insurance personal family sick time company paid holidays position may eligible discretionary variable incentive bonus parental leave adoption assistance four hundred one k retirement plan basic life supplemental life health savings account dental vision dependent care flexible spending accounts short term long term disability student loan paydown tuition reimbursement personal development learning opportunities skills development certifications employee referral program corporate sponsored events community outreach emergency back up childcare program mobility stipend,https://www.nexxt.com/jobs/ai-ml-health-data-scientist-consultant-fayetteville-ga-2443859662-job.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&aff=2ED44C72-8FD2-4B5D-BC54-2F623E88BE26&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzTsV7KUb2sCtD89vr_joyy8U8aEi17a5NVsRGBKilylOQnyvQztVt0g&s,[],"[('various levels management', 0.4014), ('quantitative discipline experience working', 0.404), ('required position minimum years', 0.4067), ('knowledge healthcare sector including', 0.4087), ('security clearance ability', 0.4094), ('security clearance ability obtain', 0.4211), ('experience education statistics', 0.4231), ('shiny skills capabilities knowledge', 0.4249), ('qualitative analysis proficiency sas', 0.4319), ('healthcare sector including', 0.4382)]","[('clients challenges healthcare', 0.4182), ('healthcare sector including', 0.4188), ('payer provider pharmaceutical life', 0.419), ('insurance claims analytics', 0.4228), ('flexible benefits package', 0.4259), ('applying healthcare administrative data', 0.4314), ('specifically applying healthcare administrative', 0.4457), ('consultant focuses specifically applying', 0.4585), ('senior consultant focuses', 0.4884), ('claims analytics senior', 0.4966)]"
Data Scientist,Virtual Company,"Fort Bragg, NC",via Careers At Geologics,,u s citizen active dod ts sci clearance bachelor science eleven years experience master science nine years experience applied statistics text mining natural language processing deep learning optimization similar fields work datasets applied statistics machine learning algorithms,perform exploratory research analysis identify novel meaningful patterns data uses statistical methods reject accept proposed hypotheses relationships latent predictive factors discovered work provide business value use combination tools technologies numerical computing systems e gpu processing distributed computing highly parallel coding cloud computing machine learning visualization system modelling simulation achieve results perform exploratory data analysis eda determine handle missing data look trends opportunities solving business problems undirected research framing open ended enterprise questions employ sophisticated analytical methods machine learning statistical methods prepare data use predictive prescriptive modeling extract immense volumes structured unstructured data query structured data relational databases using programming languages sql gather unstructured data web scraping apis surveys thoroughly clean data discard irrelevant information prepare data preprocessing modeling discovering new algorithms solve problems build programs automate repetitive work recommend cost effective changes existing procedures strategies analyze process model data interpret results create actionable plans enterprise organizations develop predictive models new algorithms solve data business problems in compliance equal pay equal work act w two hourly rate range role 50 00 60 00 geologics offers variety benefits including wellness disability insurance four hundred one k flexible spending accounts eap pto,https://careers.geologics.com/job/1013/data_scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('bachelor science years experience', 0.4218), ('datasets applied statistics machine', 0.4258), ('processing deep learning optimization', 0.4307), ('text mining natural', 0.4364), ('master science years experience', 0.4369), ('years experience applied', 0.4372), ('clearance bachelor science years', 0.4514), ('language processing deep learning', 0.4606), ('natural language processing deep', 0.4637), ('statistics text mining', 0.4747)]","[('organizations develop predictive models', 0.3969), ('existing procedures strategies', 0.3971), ('achieve results perform exploratory', 0.3992), ('information prepare data preprocessing', 0.4035), ('plans enterprise organizations', 0.4111), ('data preprocessing modeling', 0.4208), ('exploratory research analysis identify', 0.421), ('look trends opportunities solving', 0.4333), ('algorithms solve data business', 0.4549), ('data look trends opportunities', 0.4569)]"
Principal Data Scientist,Delaware North,"Atlanta, GA (+1 other)",via Delaware North Careers,,the ideal candidate statistical analytics data engineering advanced data science set skills must legally authorized work us without sponsorship bachelor degree equivalent accredited college university information management computer science computer systems engineering business administration mathematics related field strong analytical skills ability collect organize analyze disseminate significant amounts information attention detail accuracy experience working large data repositories relational databases using sql experience data query visualization dashboard scorecard tools including tableau strong knowledge deployment creation analytical solutions using alteryx sas spss r python tools ability travel needed anticipated zero ten time,in newly created role principal data scientist responsible applying business process knowledge predictive modeling develop recommend communicate timely accurate meaningful impactive insights support business decisions objectives this includes responsibility complex statistical analysis preparation predictive prescriptive implementation strategy use technical domain expertise translate data meaningful insights teams leaders confidently take action ask probing questions translate business needs order design build reporting solutions metric management statistical modeling enterprise performance management apply data aggregation descriptive analysis data presentation techniques tools communicate complex findings recommendations influence actions others drive analysis activity using full scope advanced analytics capabilities segmentation regression optimization anova market basket statistical techniques interpret results analyses identified trends issues develop alternatives enhance key objectives collaborate across multiple teams research analyze configure complex data sources according business needs objectives minimum anticipated maximum salary one hundred eight thousand one hundred one hundred forty eight thousand seven hundred year health dental vision insurance four hundred one k company match performance bonuses paid vacation days holidays paid parental bonding leave tuition professional certification reimbursement generous friends family discounts many hotels resorts,https://careers.delawarenorth.com/job/19055/Principal-Data-Scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp66YJW1Gr1pE3d1_rPRJU1QTy6yXTZrHRNARs110&s,[],"[('computer science computer', 0.4419), ('statistical analytics data', 0.4432), ('engineering advanced data science', 0.4588), ('management computer science', 0.4689), ('strong analytical skills ability', 0.4764), ('statistical analytics data engineering', 0.478), ('field strong analytical skills', 0.4817), ('information management computer science', 0.4827), ('analytical skills ability', 0.4913), ('candidate statistical analytics data', 0.5744)]","[('research analyze configure', 0.4183), ('responsibility complex statistical analysis', 0.4185), ('analysis data presentation techniques', 0.4194), ('management statistical modeling', 0.4201), ('role principal data scientist', 0.4244), ('data scientist responsible applying', 0.4274), ('according business needs objectives', 0.4323), ('teams research analyze', 0.4385), ('insights support business', 0.4485), ('capabilities segmentation regression', 0.454)]"
Business Intelligence & Analytics - Data Scientist,"BCG, Boston Consulting Group","Atlanta, GA (+1 other)",via Boston Consulting Group,,the ideal candidate outstanding hands experience strong collaborative execution capabilities excellent communication skills practical flexible mindset high attention detail work quality robust understanding business matters business analytic skills communication interpersonal teaming skills works positively collaboratively others within team builds strong lasting relationships partner effectively team members multiple time zones experience working fast paced global company diverse team technical functional backgrounds located multiple time zones you bring experience qualifications seven ten years relevant hands work experience owning building data science driven solutions part analytics setup company analytics services experience python programming language coupled additional languages experience e g pyspark r strong experience working large volume structured unstructured data leveraging build ai ml solutions end end automated data pipelines experience working collaborating variety stakeholders clients throughout data science project lifecycle effective communication skills ability translate complex solutions business implications time able explain mathematical process required experience mlops ai ml model deployment monitoring enhancements standalone solutions part larger product strong technical expertise multiple areas statistics machine learning regressions clustering techniques timeseries techniques bagging boosting trees ensemble models neural networks a b testing text mining unstructured data analytics programming language python must pyspark r sql hive scala experience variety libraries e g scikit learn tensorflow pytorch keras opencv nltk solutions development deployment experience cloud platforms e g aws azure gcp container technologies docker kubernetes etc mlops one services e g aws sagemaker datarobot google automl azure automl h twenty ai experience visualization tool tableau powerbi spotfire qlikview experience google tag manager similar tools like tealium heap adobe analytics,to date team launched operationalized several global scale products dashboards enhancing leaders engage information manage business the business intelligence analytics data scientist work integral part agile team leading innovation new digital solutions products deliver insights analytics help bcg leadership make informed better decisions the role work closely product owner stakeholders analyse business data insights build predictive models guide leadership decisions you help creatively solve bcg challenging problems developing operationalizing business critical analytics scale developing end end data science solutions individual contributor ic collaborating team members stakeholders projects strong hold data science programming languages statistics machine learning techniques working variety cloud platforms leveraging best practices coding mlops tools owning end end responsibility design development deployment machine learning solutions scale deliver high quality outcomes sharing expertise perspectives alternate approaches tools techniques improve end solution working closely data engineers product owners analysts identify required data sources operationalizing data pipelines ensuring compliance data governance security requirements partnering data analysts visualization experts create dashboards reports enable stakeholders quickly easily use data insights model predictions make timely business decisions being customer focused dedicated understanding learning influencing customer needs requirements develops practical acceptable compromises negotiating adapts style changing situations audiences tact poise patience demonstrates persistence drive change improvement,https://careers.bcg.com/job/BCG1US19793BREXTERNALENUS/Business-Intelligence-Analytics-Data-Scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuE7LGK80sgQuXG9g5Fkoks60uucVDsjR5vVEBv1U&s,[],"[('expertise multiple areas statistics', 0.4072), ('experience working fast', 0.4139), ('data science project lifecycle', 0.4158), ('skills communication interpersonal teaming', 0.4203), ('process required experience', 0.4215), ('teaming skills works', 0.4233), ('teaming skills works positively', 0.4304), ('required experience mlops ai', 0.4338), ('qualifications seven years', 0.4405), ('qualifications seven years relevant', 0.4529)]","[('team members stakeholders projects', 0.4568), ('stakeholders analyse business', 0.4579), ('products deliver insights analytics', 0.46), ('insights build predictive', 0.4613), ('use data insights', 0.4654), ('developing operationalizing business', 0.468), ('critical analytics scale developing', 0.4726), ('requirements partnering data', 0.4772), ('analytics scale developing end', 0.4998), ('requirements partnering data analysts', 0.5044)]"
"Data Scientist, Pricing & Revenue Management",FOCUS Brands LLC,"Atlanta, GA",via ZipRecruiter,,bachelor degree computer science mathematics statistics engineering related discipline required required three years relevant experience data science role expertise advanced analytical techniques e g descriptive statistics machine learning optimization pattern recognition cluster analysis segmentation analysis etc experience using analytical tools languages e g python sql spark sql etc experience working large data sets distributed computing tools e g gcp tensor flow synapse snowflake data transformation tools e g experience data visualization tools e g power bi strong analytical skills keen attention detail ability recognize patterns anomalies passionate working large sets complex data finding relationships uncover insights strong communication presentation skills experience summarizing complex information adapting message different audiences skilled managing complex projects require working cross functional teams ability multi task manage tight deadlines handle competing priorities achieve results dynamic environment,study structure setup key data sources point sale systems identify document business requirements pricing data models design conceptual machine learning model inputs analytical methods outputs incorporate machine learning models tools used making pricing decisions utilize insights determine optimal pricing relationships items sales channels deliver brand wide pricing guidance scheduled intervals developing price tier options determining ideal set price tiers location provide guidance brand teams establishing optimal pricing new menu items combos limited time promotions loyalty offers reporting analytics develop maintain dashboards tools used measure success pricing changes including franchisee adoption along sales margin performance partner bi team design implement dashboards microsoft power bi general provide input road map future strategic pricing capabilities tools systems data research industry macroeconomic trends may impact future pricing actions scrutinize analytic processes efficiency quality help implement improvements create enthusiasm around revenue management throughout organization educating others importance strategic pricing approach the data scientist pricing revenue management integral role long term strategy maximizing franchisee company location sales profitability seven iconic restaurant brands within focus brands family the data scientist position specialized around data science analytical functions revenue management team integrating large data sets develop pricing data machine learning models build machine learning algorithms incorporate outcomes various systems tools analyzing success prior pricing actions franchisee adoption sales margin impacts also focus role along key functions role also involved providing location level pricing guidance brand wide pricing implementations the revenue management team newly formed department within focus brands providing exciting opportunity learn inner workings brand create tools systems processes provide best class revenue management intelligence brand,"https://www.ziprecruiter.com/c/FOCUS-Brands-LLC/Job/Data-Scientist,-Pricing-&-Revenue-Management/-in-Atlanta,GA?jid=c2c000289f6e59b2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,[],"[('skills experience summarizing', 0.4286), ('bi strong analytical skills', 0.4414), ('role expertise advanced analytical', 0.4629), ('skilled managing complex projects', 0.4669), ('statistics engineering related', 0.4775), ('degree computer science mathematics', 0.4809), ('data science role', 0.4992), ('statistics engineering related discipline', 0.5128), ('required years relevant experience', 0.5147), ('bachelor degree computer science', 0.5374)]","[('developing price tier', 0.4275), ('making pricing decisions utilize', 0.4362), ('strategic pricing capabilities', 0.4392), ('requirements pricing data models', 0.4472), ('requirements pricing data', 0.4497), ('approach data scientist pricing', 0.4502), ('pricing data machine', 0.4559), ('pricing data machine learning', 0.462), ('strategic pricing capabilities tools', 0.4871), ('business requirements pricing data', 0.4991)]"
Principal Data Scientist,LEIDOS,"Cardiff, CA",via My ArkLaMiss Jobs,,candidates successful proven demonstrable experience leading cross discipline teams development integration software based solutions competitive contract based applied research programs candidates experience developing solutions variety machine learning problems e g probabilistic modeling learning techniques statistical inference application areas e g nlp computer vision data mining cybersecurity operations research bachelor degree physical sciences data science computer science related field twelve years master degree ten years direct experience developing data science machine learning methods applied technical sensor data including cbrn spectral sensors eo ir imaging sensors acoustic seismic magnetic sensors proficient python tensorflow pytorch able utilize develop modern mlops cloud hosted pipelines algorithm development familiarity image classification object detection video tracking ml methods well anomaly detection time series data ability develop execute code cloud hosted environment utilizing native tools e g aws sagemaker well customized tools e g custom library utilizing apache storm qualified candidates must us citizen able obtain top secret security clearance clearance needed start up twenty five travel,the candidate collaborate teammates across organization bringing diverse capabilities together develop innovative solutions contract research development projects leading sometimes working guidance fellow researchers the candidate expected take challenges processing interpreting analyzing large volumes data the candidate blend research operational experience apply approaches problems inference complex operational environments given varying degrees quality data formulate suggest manage complex data driven development projects involving technical sensor data modern ml architectures devise sophisticated feature extraction techniques complex high dimensional datasets develop utilize mlops pipelines develop train test validate ml models applicable stated sensor domains provide oversight junior staff developmental efforts including informing advanced statistical procedure decisions cross validating models ensure applicability generalizability reviewing technical outcomes ensure reliability robustness operational use cases producing communicating reports summarize technical results non technical audience staying date current state art ds ml methods strategizing employment methods current future r d projects working collaboratively across company gather utilize novel ds ml ai approaches solve technical challenges of particular interest implementing trusted ai techniques ensure robustness developed algorithms pay range one hundred eighteen 300 00 one hundred eighty two 000 00 two hundred forty five 700 00 the leidos pay range job level general guideline guarantee compensation salary,https://jobs.myarklamiss.com/jobs/principal-data-scientist-cardiff-by-the-sea-california/914758623-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('develop modern mlops', 0.4428), ('data ability develop', 0.4459), ('able utilize develop', 0.4531), ('operations research bachelor degree', 0.454), ('science computer science', 0.46), ('develop modern mlops cloud', 0.4619), ('field years master degree', 0.4636), ('candidates experience developing solutions', 0.4703), ('cybersecurity operations research bachelor', 0.5), ('years direct experience developing', 0.5039)]","[('datasets develop utilize', 0.4462), ('range job level general', 0.4499), ('development projects involving technical', 0.4508), ('capabilities develop innovative', 0.4519), ('utilize mlops pipelines develop', 0.4525), ('junior staff developmental efforts', 0.458), ('research operational experience apply', 0.4675), ('job level general guideline', 0.4851), ('ml methods strategizing employment', 0.4918), ('data driven development projects', 0.5013)]"
Research Data Scientist - Gonzalez-Hernandez Lab - Computational...,The Lancet,"Los Angeles, CA",via Mendeley,,bachelor degree computer sciences machine learning applied mathematics econometrics statistics engineering physics related field required experience skills two five two five years professional experience healthcare pharmaceutical industries working biomedical data experience programming intermediate skill level high level programming language python college projects may acceptable experience programming deploying basic intermediate proficiency level machine learning natural language processing frameworks regular expressions classifiers experience writing scientific manuscripts working knowledge data privacy security including best practices data personal health identifiers phi covered hipaa strong interpersonal communication skills including scientific writing full command verbal written english language demonstrates commitment customer service ability meet needs expectations patients health care colleagues demonstrated success working independently forging relationships managing multiple tasks minimal directions ability promote foster participation collaboration among individuals groups ability handle multiple demands manage complex competing priorities ability analyze qualitative quantitative information research high level proficiency using microsoft windows microsoft office software ms excel outlook powerpoint word etc must able manage competing priorities extremely adaptable flexible maintaining positive work environment,the research data scientist participates biomedical research projects using programming data mining statistics machine learning natural language processing visualization techniques develop evaluate apply algorithms software health data analysis responsibilities include active communication collaborators clinicians epidemiologists domain experts design deployment end end scientific studies qualitative quantitative including participation different tasks querying data repositories data processing deploying supervised unsupervised machine learning methods well releasing validating production models the research data scientist writes clean performant reusable code managed github perform repeatable analyses train deploy models multiple environments communicates scientific findings via peer reviewed publications scientific conferences jobs primary duties responsibilities assists development evaluation application computational statistical methods including artificial intelligence machine learning natural language processing algorithms software analysis biomedical data assists presentation communication scientific results laboratory meetings scientific conferences peer reviewed publications creates database deployment pipelines models using necessary programming languages primarily r python sql creates sustainable data science infrastructure adheres data analysis machine learning best practices performs exploratory data analysis gauge need appropriateness advanced analytical methods works senior lead data scientists principal investigators identify areas data science best applied answer biomedical research questions tests validates code ensure robustness data applications version control github performs duties assigned department specific responsibilities participates development innovative algorithms analytical methods participates evaluation interpretation analytical methods results participates communication scientific results including publications participates analytical training activities faculty staff students,https://www.mendeley.com/careers/job/research-data-scientist-gonzalez-hernandez-lab-computational-biomedicine-19707208?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSpk1dsw_rLJFeS9h3ulAUv0ENKIGWAAk0kk-MPxQ&s,[],"[('ability analyze qualitative quantitative', 0.4424), ('years professional experience healthcare', 0.4471), ('basic intermediate proficiency level', 0.4508), ('years professional experience', 0.451), ('programming intermediate skill', 0.4516), ('intermediate proficiency level', 0.4516), ('related field required experience', 0.4543), ('experience programming intermediate', 0.4603), ('skills including scientific', 0.4823), ('field required experience', 0.5168)]","[('answer biomedical research questions', 0.4233), ('applied answer biomedical research', 0.4237), ('data science infrastructure', 0.4241), ('data science infrastructure adheres', 0.4292), ('software analysis biomedical data', 0.4398), ('health data analysis responsibilities', 0.4459), ('data scientist participates', 0.4504), ('biomedical research projects using', 0.4536), ('data analysis responsibilities include', 0.4891), ('participates biomedical research', 0.4922)]"
