title,company_name,location,from,Benefits,Qualifications,Responsibilities,applyLink
Senior Software Engineer (Java/Node Js & Angular),Baker Hughes,"Pune, Maharashtra, India",via Baker Hughes,,,,https://careers.bakerhughes.com/global/en/job/R80823/Senior-Software-Engineer-Java-Node-Js-Angular?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. Software Developer - Data & Analytics,Johnson Controls International,"Pune, Maharashtra, India",via Johnson Controls Careers,,,,https://jobs.johnsoncontrols.com/job-en/16790133/sr-software-developer-data-analytics-pune-in/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Salesforce Senior Software Engineer,Litera,"Ahmedabad, Gujarat, India",via Jobvite,,,,https://jobs.jobvite.com/litera/job/oxremfwi?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Application Software Developer,Brose North America,"Marunji, Maharashtra, India",via Brose,,,,https://www.brose.com/us-en/careers/job-application-software-developer-3084.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer,Techfastic,"Mumbai, Maharashtra, India",via LinkedIn,,,,https://in.linkedin.com/jobs/view/software-developer-at-techfastic-3476742349?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer (.Net/MVC/WPF & React),NielsenIQ,"Mumbai, Maharashtra, India",via SmartRecruiters Job Search,,,,https://jobs.smartrecruiters.com/NielsenIQ/743999887107104-software-developer-net-mvc-wpf-react-?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,Ivalua,"Pune, Maharashtra, India",via Startup Jobs,,,,https://startup.jobs/software-engineer-ivalua-4164285?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Principal Software Developer,EXFO Inc,"Pune, Maharashtra, India",via Careers | EXFO,,,,https://careers.exfo.com/job/Pune-Principal-Software-Developer/564366617/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer,IHCS Technologies India Private Limited,"Vadodara, Gujarat, India",via Foundit.in,,,,https://www.foundit.in/job/software-developer-ihcs-technologies-india-private-limited-vadodara-7832708?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer,iPrimesystem,"Vadodara, Gujarat, India",via WorkIndia.in,,,,https://www.workindia.in/jobs/software_developer-sayajigunj-vadodara-3315970/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - II (ML Team),Helpshift,"Pune, Maharashtra, India",via Lever,,,,https://jobs.lever.co/helpshift/26629790-2de8-4c01-902a-60e7b9363940?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,Equal Experts,"Pune, Maharashtra, India",via Greenhouse,,,,https://boards.greenhouse.io/equalexperts/jobs/4136043002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer : C++ Cross Platform,Signify Netherlands B.V.,"Pune, Maharashtra, India",via Careers At Signify,,,,https://www.careers.signify.com/global/en/job/330748/Software-Developer-C-Cross-Platform?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Low Latency Software Engineer,IMC Financial Markets,"Mumbai, Maharashtra, India",via IMC Trading,,,,https://careers.imc.com/eu/en/job/REQ-02352/Low-Latency-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Software Developer (C#, WPF - Desktop applications), 2-5 Years",Siemens,"Pune, Maharashtra, India",via Siemens Job Search,,,,https://jobs.siemens.com/jobs/336642?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. C/C++ Software Developer,Hitachi Solutions Europe,"Pune, Maharashtra, India",via Energy Jobline,,,,https://www.energyjobline.com/job/sr-c-c-software-developer-16378214?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Associate Software Developer,External Career Site,"Gujarat, India",via Oracle,,,,https://fa-eloh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions/job/21102485?utm_medium=search+engine&utm_source=google&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Developer,S&P Global,"Ahmedabad, Gujarat, India (+2 others)",via S&P Global Careers,,,,https://careers.spglobal.com/jobs/277363?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
C++ Software Developer,Broadridge,"Mumbai, Maharashtra, India (+1 other)",via Broadridge - Teamtailor,,,,https://itiviti.teamtailor.com/jobs/1939952-c-software-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer (C++/ Python),FlexTrade,"Pune, Maharashtra, India",via Careers At FlexTrade,,,,https://flextrade.recruitee.com/o/software-developer-c-python?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - II (ML Team),Helpshift,"Pune, Maharashtra, India",via Lever,,,,https://jobs.lever.co/helpshift/26629790-2de8-4c01-902a-60e7b9363940?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Engineer,Baker Hughes,"Mumbai, Maharashtra, India",via Baker Hughes,,,,https://careers.bakerhughes.com/global/en/job/R81436/Senior-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software developer,Sourcing X-Press,"Mumbai, Maharashtra, India",via LinkedIn,,,,https://in.linkedin.com/jobs/view/software-developer-at-sourcing-x-press-3474903392?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer,nvent,"Mumbai, Maharashtra, India",via Talent.com,,,,https://in.talent.com/view?id=8c62f4d6e33a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer II- .Net,S&P Global,"Ahmedabad, Gujarat, India",via S&P Global - Talentify,,,,https://sp-global.talentify.io/job/software-developer-ii-net-ahmedabad-gujarat-ahmedabad-gujarat-s-and-p-global-273858?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,Equal Experts,"Pune, Maharashtra, India",via Greenhouse,,,,https://boards.greenhouse.io/equalexperts/jobs/4136043002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developers,LinguaSol,"Pune, Maharashtra, India",via Intellijobs.ai,,,,https://intellijobs.ai/job/LinguaSol-Software%20Developers-nTEwgbsANtSQuDPW3ni3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,"Qualifacts Systems, Inc.","Vadodara, Gujarat, India",via Startup Jobs,,,,https://startup.jobs/software-engineer-qualifacts-systems-inc-4092471?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer : C++ Cross Platform,Signify Netherlands B.V.,"Pune, Maharashtra, India",via Careers At Signify,,,,https://www.careers.signify.com/global/en/job/330748/Software-Developer-C-Cross-Platform?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Low Latency Software Engineer,IMC Financial Markets,"Mumbai, Maharashtra, India",via IMC Trading,,,,https://careers.imc.com/eu/en/job/REQ-02352/Low-Latency-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Software Developer (C#, WPF - Desktop applications), 2-5 Years",Siemens,"Pune, Maharashtra, India",via Siemens Job Search,,,,https://jobs.siemens.com/jobs/336642?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Associate Software Developer,External Career Site,"Gujarat, India",via Oracle,,,,https://fa-eloh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions/job/21102485?utm_medium=search+engine&utm_source=google&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Engineer,"External  - Global, Morningstar","Navi Mumbai, Maharashtra, India",via Careers At Morningstar | Morningstar Jobs - Morningstar,,,,https://careers.morningstar.com/us/en/job/REQ-037183/Senior-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
C++ Software Developer,Broadridge,"Mumbai, Maharashtra, India (+1 other)",via Broadridge - Teamtailor,,,,https://itiviti.teamtailor.com/jobs/1939952-c-software-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Developer,S&P Global Market Intelligence,"Ahmedabad, Gujarat, India",via Foundit.in,,,,https://www.foundit.in/job/senior-software-developer-s-p-global-market-intelligence-india-6499128?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer (C++/ Python),FlexTrade,"Pune, Maharashtra, India",via Careers At FlexTrade,,,,https://flextrade.recruitee.com/o/software-developer-c-python?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Advisory Software Engineer- Fullstack (Commerce + AEM),"5110 Pitney Bowes India Pvt. Ltd., Pitney Bowes","Pune, Maharashtra, India (+1 other)",via Careers At Pitney Bowes,,,,https://careers.pitneybowes.com/global/en/job/R10153/Advisory-Software-Engineer-Fullstack-Commerce-AEM?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Morningstar - Senior Software Engineer/Python Developer - Numpy/Pandas,Morning Star,"Navi Mumbai, Maharashtra, India",via LinkedIn,,,,https://in.linkedin.com/jobs/view/morningstar-senior-software-engineer-python-developer-numpy-pandas-at-morning-star-3480268014?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer: Microservices,Financial Software & Systems Pvt,"Mumbai, Maharashtra, India",via Melga,,,,https://min.melga.com/job/2023-02-14_a65e8e6fa0c4d61aeb8ef114b4e7b99b80caec30555cce889a7d6a644ca9cfd9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Engineer,Marsh and McLennan,"Mumbai, Maharashtra, India",via Marsh McLennan Jobs,,,,https://careers.marshmclennan.com/eu/en/job/R_214889/Senior-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Developer - Fullstack,Snowflake,"Pune, Maharashtra, India",via Snowflake Careers,,,,https://careers.snowflake.com/us/en/job/6575131002/Senior-Software-Developer-Fullstack?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Hexagon Off Campus Drive 2023 Hiring for Jr Software Developer ...,Hexagon,"Pune, Maharashtra, India",via Freshershunt,,,,https://freshershunt.in/hexagon-off-campus-drive-jr-software-developer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr Software Engineer 6985,Altera Digital Health,"Vadodara, Gujarat, India",via Startup Jobs,,,,https://startup.jobs/sr-software-engineer-6985-altera-digital-health-4109163?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Developer,TIAA GBS India,"Pune, Maharashtra, India",via TIAA Careers,,,,https://careers.tiaa.org/tiaagbs/global/en/job/R220900593/Senior-Software-Developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - II (DevOps),Helpshift,"Pune, Maharashtra, India",via Lever,,,,https://jobs.lever.co/helpshift/5ac8897b-bc96-4dd9-aafe-d2ccb82b8c26?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Developer Engineer-Java,Siemens,"Pune, Maharashtra, India",via Siemens Job Search,,,,https://jobs.siemens.com/jobs/320921?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Principal Software Developer,EXFO Inc,"Pune, Maharashtra, India",via Careers | EXFO,,,,https://careers.exfo.com/job/Pune-Principal-Software-Developer/564359717/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Developer,S&P Global,"Ahmedabad, Gujarat, India (+2 others)",via S&P Global Careers,,,,https://careers.spglobal.com/jobs/277363?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. C/C++ Software Developer,Hitachi Solutions Europe,"Pune, Maharashtra, India",via Energy Jobline,,,,https://www.energyjobline.com/job/sr-c-c-software-developer-16378214?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - Backend,Avoma,Anywhere,via AngelList,,,,https://angel.co/company/avoma/jobs/1867991-software-engineer-backend?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
