title,company_name,location,from,Benefits,Qualifications,Responsibilities,applyLink,thumbnail
MANAGER-RC DATA SCIENCE-ENT (Manager-Research Computing Data...,190800000 Research Computing,"University, FL",via ZipRecruiter,,"Bachelor's degree in Data Science, Computer Science, Engineering or a related field and eight (8) years of related experience required. Work experience may NOT substitute for education requirement. Analytical skills. Leadership skills. Project management skills. Written and verbal communication skills","To provide Data Science expertise to design, evaluate and deploy systems and projects. To design and implement platforms to deploy research services and transition these services from development to production using industry best practices. To interpret, organize, execute and coordinate various research assignments that require data science expertise. To formulate and conduct research on problems of considerable scope and complexity in collaboration with faculty and researchers. To assist faculty and researchers in the effective utilization of campus Research Computing (RC) resources by designing innovative solutions. To conduct research and analysis and present findings for review. To carry out complex assignments requiring the development of new or improved techniques and procedures. This position will commit to fostering an environment of heightened security following Information Technology Security Positions and participating in security training, such as Health Insurance Portability & Accountability Act (HIPAA) and Family Education Rights and Privacy ACT (FERPA), on an annual basis. Provides expertise to design, evaluate and deploy RC systems, and serves as senior personnel on grant management. Analyzes complex business needs presented by the user community and/or clients and recommends technical solutions. Oversees the UAB RC environment including High Performance Computing (HPC) and resources offered to support Data Science research. Ensures effective communication and marketing of RC initiatives and projects with the campus, Page 2 of 3 partners and community. Oversees all staff in the RC group and performs annual reviews. Provides direction and guidance to Project Managers and Engineering Team Leads. Manages cross-team projects and manages several large projects a year. Assists in annual development and oversight of the budget and assists in the annual equipment inventory process. Performs other duties as assigned. (Annual Salary: $109,250 - $177,530)","https://www.ziprecruiter.com/c/190800000-Research-Computing/Job/MANAGER-RC-DATA-SCIENCE-ENT-(Manager-Research-Computing-Data-Facilitation-II)/-in-University,FL?jid=46fa483882b58ae6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
"Data Science Program Manager, Specialist Master - SFL Scientific",Deloitte,"Tampa, FL",via Glassdoor,,"Masters or Ph.D. in STEM field or equivalent experience (Computer Science, Engineering, Mathematics. Physics, Statistics, etc.). 6+ years' experience managing and delivering complex and technical projects, preferably in the data science space. 2+ years' experience crafting the strategic direction of technical programs within domain specific industries. Previous experience in a technical role such as a data scientist, solutions architect, machine learning engineer, AI consultant, etc. Strong technical capability and understanding of code delivery","As a Data Science Program Manager, you will manage our data science delivery team in partnering with clients, organizing multi-project initiatives, and enabling technical solutions for complex R&D-type programs. The right candidate will be a key point of contact for clients, translate business goals into technical directives, manage expectations, provide executive briefs, and be responsible for the quality of all client deliverables and messaging to ensure projects achieve business value for our clients. You will drive the delivery and adoption of novel data science approaches across medical imaging, natural language processing/generation (NLP/NLG), autonomous systems, edge-AI, graph neural networks, and other state-of-the-art applications. The Program Manager will dually focus on client-account expansion as well as internal resourcing and project planning in order to drive both operational and business value. This may include problem scoping, providing domain expertise when working with clients to uncover unmet needs, and identifying how to leverage internal resources and external partners. As the Program Manager, you will own the direction of program initiatives and work with both the technical and business development teams on the execution and delivery of AI and machine learning (ML) projects. Work cross functionally with the data science and engineering teams, business development and subject matter experts to design strategic project plans that align with program initiatives and enable technical solution delivery. Develop and foster relationships with external stakeholders in order to build the team's credibility, managing the client's needs proactively and uncovering additional opportunities for our clients to extract business value. Distinguish between business requirements and underlying project needs to propose unique solutions that are aligned with scoped deliverables. Develop key project and program documentation such as statement-of-works (SOW), proposals, executive presentations, client briefings and reports. Present to internal leadership on program initiatives, technical deliveries, interdepartmental collaboration and business development opportunities related to client projects. Identify opportunities for improvement in internal consulting services, software stack, project methods, delivery, reporting, and all best practices for the organization. Manage the output, develop and inspire junior program and project managers. Live within commuting distance to one of Deloitte's consulting offices","https://www.glassdoor.com/job-listing/data-science-program-manager-s-and-a-strategy-deloitte-JV_IC1154429_KO0,45_KE46,54.htm?jl=1008208629811&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXBkOY1REsyFC_3PD3K-2Jz-VCA_QP0iHpnSkV4iE&s
"Sr. Research Associate, Oncology Data Science",Takeda Pharmaceutical,"Boston, MA",via Takeda Pharmaceutical,,"M.S. with 2+ years of experience in data science, machine learning, oncology research and translation or B.S. with 5+ years of experience. Programming skills in any programming language. Knowledge of Unix/Linux, command line interfaces, and fluency in some common scripting and programming language (e.g., R, Python, Perl, Java, C / C++). Familiar with parallel computing, relational databases (e.g., SQL) and cloud computing or distributed computing (i.e. AWS) and workflow management. Experience applying statistical methods and machine learning algorithms to large datasets, such as 'omics or image data. Have scientific understanding of molecular biology and genomics. Theoretical knowledge of bioinformatics, computational biology and machine learning. Keep current with latest trends in bioinformatics and computational biology and machine learning algorithms. Familiar with popular public domain data sources and programmatic interfaces","Your will apply modern computational approaches to scientific and data science problems and will be influential across the entire drug discovery spectrum. You will contribute to projects moving from target identification and validation through early clinical proof of concept, providing translational hypotheses and predictive and pharmacodynamic biomarkers to inform early clinical development strategies. Help build data science capabilities in the Computational Oncology group, including pipelines, computational infrastructure, databases, and AI/ML platforms. Use internal and external high dimensional datasets to build novel machine learning models for selection and prediction of relevant features/outcomes. Collaborate with data science and data engineering groups, and vendors, to build and onboard platforms to enhance data storage/query/visualization, user interfaces, reproducible research, and other capabilities. Prepare and present comprehensive technical or project reports to a full range of internal and external audiences. Work with functional and program leadership to develop and implement a computational biology roadmap and strategies. Comprehensive Healthcare: Medical, Dental, and Vision. Financial Planning & Stability: 401(k) with company match and Annual Retirement Contribution Plan. Health & Wellness programs including onsite flu shots and health screenings. Generous time off for vacation and the option to purchase additional vacation days. Community Outreach Programs and company match of charitable contributions. Family Planning Support. Flexible Work Paths. Tuition reimbursement",https://jobs.takeda.com/job/boston/sr-research-associate-oncology-data-science/1113/38265015088?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmQgOyzWbBALKedihPFLmoVz7vynYNw7kSpbrj&s=0
Senior Data Scientist,Sanofi Global (French),"Waltham, MA",via Sanofi,,"Trained in quantitative sciences, engineering, data sciences or computer sciences – PhD with a minimum of 4 years of relevant industrial experience or MSc with 8 years of industrial experience. Demonstrated domain knowledge in Biology, Bioprocess engineering. Experience developing complex data analytics workflow – machine learning, multivariate analysis - on biologics processes. Advanced programing skills in standard programming languages - Python, R, Matlab. Demonstrated knowledge in app’ development in cloud-based environment. An ability to work as part of a team, engaging with scientists in the field of biopharmaceutics. Learning agility, with an appetite for building new skills in a rapidly evolving Digital environment. A change agent mentality, proposing novel approach to challenging scientific questions. Self-motivated with experience working on project teams. Excellent communication skills, in an international environment","Work with project teams in Process Development / CMC to support activities such as process design, optimization, control strategy definition. Develop automated data analytics workflow for data visualization, process monitoring and predictive analytics. Implement and deploy machine learning / multivariate models to drive novel insight for process development activities. Lead cross functional teams to support continuous improvement projects and troubleshooting activities. Issue technical reports summarizing conclusion of data analyses and recommendations for process improvements. Represent Sanofi externally at relevant conferences or consortia. Core contributor to the strategy development for Advanced analytics, as part of our digital transformation program",https://fr.jobs.sanofi.com/emploi/waltham/senior-data-scientist/20874/43025134624?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Entry Level Data Scientist,SynergisticIT,"Portland, ME",via LinkedIn,,"Hands on experience Python scripting. Hands on experience in building Machine Learning and Artificial Intelligence models. Good knowledge on Exploratory Data Analysis (EDA). Hands on experience on platforms - Microsoft Azure/Amazon Web Services. Libraries – Numpy, Pands, Scikit learn, Seaborn, Plotly, TensorFLow, Should be able to do data visualisation using Tableau or Excel. Excellent English communication (both oral and written) and reading comprehension skills. Strong analytical and problem-solving skills, with clear attention to detail. Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering. Candidates who have difficulty finding jobs even after completing their bachelors and masters. Candidates who are working on redundant technologies and want to become relevant again to boost their growth. Candidates who want to enhance their skill portfolio. Candidate who are open to invest 4-5 months in learning about Java or Data Science and then have a job in the Fortune 500 Companies","Identify valuable data sources and automate collection processes. Undertake preprocessing of structured and unstructured data. Analyze large amounts of information to Client trends and patterns. Classifier, Random Forest Classifier, Nave Bayes, Support Vector Machine. On Job Technical support. Full time position",https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3415231426?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAcJGPNDwucbwQmeeuAQQJgoAbnOBA7kSOMIp0bFA&s
Data Scientist II (Health),Resume Library,"Boston, MA",via Mendeley,,"Bachelor's Degree in Statistics, Data Science, Applied Mathematics, Computer Science or a related field. 2+ years of full-time professional experience in a related area. 2+ years experience applying advanced mathematical and statistical techniques. Strong python programming skills and substantial experience with scientific python packages. A strong interest in improving people’s health and well-being. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office","In collaboration with clinicians, research analysts, and product managers, members of the Health Data Science build features that help members improve their health and better understand their body’s signals. You’ll work with data from a variety of sources including processed time series data generated by sensors on the WHOOP Strap, data collected from “gold-standard” devices, and data entered manually by WHOOP members via the mobile application. Using these data sources, as well as drawing upon clinical theory and evidence, you will design, train, and deploy machine learning algorithms that provide insights to members on topics such as mental health, reproductive health, cardiovascular health, and more. Develop statistical and machine learning models to solve complex problems with data of varying structures. Conduct research on specific health and physiological problems and integrate clinical research into the development of algorithms. Productionize models and algorithms with assistance from data and software engineers as appropriate, and monitor model performance in the field. Work with MLOps engineers to stand up production backend APIs in Python that pass data through inference pipelines with trained machine learning models. Collaborate with the product team to ensure we’re delivering maximal member-value. Collaborate with our Chief Medical Officer and scientific and medical advisors as needed to ensure we are interpreting the data in a scientifically accurate and medically responsible way. Reports to the Health Data Science Technical Lead",https://www.mendeley.com/careers/job/data-scientist-ii-health-20410887?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG43dBeMre8ix1hs0Y7kaz5cwpTtM7PK5l5taPF_s&s
"Data Scientist - Digital Media Measurement - Hoboken, NJ",Walmart,"South Hempstead, NY",via ZipRecruiter,,"You're proficient in modeling algorithms and programming languages. Must have professional experience in Digital Advertising, Retail Media, and Ads measurement. You're comfortable influencing others, communicating clearly with clients and working with cross functional stakeholders. You have a test and learn mentality and an agile way of working to improve your solutions. Must be able to work in-office as needed. Bachelors degree in statistics, economics, operations research, engineering, or related field. 2-4 years post academic experience in MMM, measurement, marketing strategy & analytics. Hands on coding skills (Python/SQL) and database knowledge. Professional experience communicating technical material to a range of audiences and to 'tell a story' that provides insight into the business. Hands on experience with predictive modeling algorithms. Strong project management skills. Professional post academic experience successfully and continuously managing multiple projects and timelines. Professional experience and ability to thrive working in a fast-paced agile environment. A collaborative mindset and sense of curiosity. PhD or Masters degree in Statistics, Economics, Operations Research, or related field. Experienced in building market mix and multi-touch attribution models. Experience with advertising, measurement, and/or digital marketing analytics. Experience with advertising technology platforms Ad servers, DSPs, DMPs, etc. Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2 years' experience in an analytics or related field. Option 3: 4 years' experience in an analytics or related field. Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)",Build and enhance media mix models to connect the impact of marketing tactics and business short-term and long-term outcomes. Run optimization and simulation scenarios to help provide the marketing investment and allocation recommendations to stakeholders. Perform hands-on modeling and complex analyses using SQL & Python. Explain complex modeling approaches in simple terms and develop compelling narratives that connect modeling results with business problems,"https://www.ziprecruiter.com/c/Walmart/Job/Data-Scientist-Digital-Media-Measurement-Hoboken,-NJ/-in-Hempstead,NY?jid=4141459bd5de6db5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Post Doctoral Scientist Data Science,Johnson & Johnson,"Cambridge, MA",via Johnson & Johnson,,"Have profound knowledge of current state-of-the art neuroimaging pipelines for data cleaning, analysis, feature extraction and visualization","Be able to independently design, build and implement state-of-the art prediction models using large-scale neuroimaging data (such as fMRI/MRI, PET, EEG). Present analysis in a cross-functional setting, contextualizing how it fits within the broader project. Develop new methods and prepare scientific publication, patents, technical reports. Stay on the cutting edge of neuroimaging analytics, prediction modeling, statistics and related areas",https://jobs.jnj.com/fr/emplois/2306106495w/post-doctoral-scientist-data-science/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Data Scientist III,Tufts University,"Medford, MA",via Tufts University Careers,,"We are seeking a candidate with a background in bioinformatics, computational biology, biostatistics, or related field with experience analyzing large genomic and transcriptomic (bulk and single-cell) next-generation sequencing data, leveraging publicly available data from publication and repositories (GEO, TCGA, Ensemble, etc.), and proficiency with R and Python programming, statistical analyses and use of next-generation sequencing tools. Knowledge and experience typically acquired through a completion of a PhD or Master of Science (MS) degree with 5 plus years of experience. Demonstrated scholarly activity including significant contributions to peer-reviewed literature and original research contributions to peer-reviewed journals","The center will build on existing strengths at Tufts and provide a structure to help realize the promise of the Tufts T10 Strategic Plan. DISC is seeking to fill a 2 year renewable staff scientist position at Data Scientist III level. The Data Scientist III will work independently, but in close consultation and in cooperation with Senior Scientists. Develop, adapt, and implement analytical workflows and novel methods for large-scale ""omics"" studies. Interpret, summarize, and communicate results. Collaborate on current/future grants through participation in grant proposals, submissions, publications and presentations. Participate in contributing data to publications and presentations as co-author. Partiake in teaching, research, and mentoring including providing research guidance to graduate students or postdoctoral scholars",https://jobs.tufts.edu/jobs/17867?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYiP0-QCz6WA5gtFMceH1PEkfLMIJfsJq1xWcj&s=0
Data Analyst,FMC,"Philadelphia, PA",via FMC Corporation Careers,,"One to three years of experience in a professional environment with an understanding of Finance, Auditing, IT, or Risk assurance. Proficient in Microsoft Office (Excel, Word and PowerPoint). Willingness to learn programming/scripting in order to retrieve and analyze data through various data analytics software and visualization tools, e.g., Alteryx, SQL, MicroStrategy, SAS, Audit Command Language (ACL), Python, PowerShell, Spotfire, Power BI, Tableau, etc. Creative, with critical outside-the-box thinking to solve problems. Excellent oral and written communication skills. Strong understanding of process. Ability to interact and exercise good judgment in communicating issues to Managers, Department Heads or Senior Financial Auditors. Project management and organizational skills. Demonstrate collaborative, can-do attitude with a strong work ethic","As the Data Analyst, you will report to the Audit Manager tasked with Data Analytics. You will be responsible for supporting the creation of a fully functional and scalable data analytics program and will aid in the creation of analytics used as part of the regular audit and internal controls programs. You will also support the Internal Audit group in the execution of location and process specific audit projects through the completion of various substantive tests and the development of project related reporting. Develop an understanding of FMC data sources and systems. Assess how they enable decision making within Internal Audit and the business. The data analyst will assist in the build and execution of data analytics that can target anomalies, fraud, errors, and other risks. These analytics will ultimately be integrated into the regular audit program and in support of other risk assessment initiatives at FMC. This person will also perform audit procedures to determine the reliability of internal control systems. This combination of data analytics and auditing is key to mitigating risk for the business. Aid in the development of processes to standardize and automate data cleansing, which will enable the regular use of value-added analytics. Effectively communicate with manager to provide updates on the status of individual projects in support of the overall program rollout. Work with the Internal Audit project team to assist in audit sample selection and analysis through the use of data tools and analytics. Where applicable, assist in the development of audit findings and recommendations. Support annual fraud risk assessment procedures, which will target different business processes and locations through data analysis. Perform other related duties as assigned including special projects undertaken at the request of the Audit Manager",https://jobs.fmc.com/job/Philadelphia-Data-Analyst-PA-19104/992550800/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK0JOJZKx7hUiAqOBo7YKAo9uRMsEE7KzSTX-t&s=0
Data Scientist,Mass General Brigham,"Boston, MA",via SonicJobs,,"Proficiency with SQL, Python, MATLAB required. Experience with GCP, AWZ cloud computing prefered, specifically for healthcare data. Demonstrated ability in managing and analyzing time series data and/or data from electronic health record using language such as one of the following Python, Matlab, R, C++. Expertise in relational and/or NO-SQL database management to analyze data in batch. Facility with ""tools of the trade"", e.g., Unix system administration, shell scripting, building and deployment tools, version control. Proven ability to meet deadlines and work cooperatively in a small collaborative team. Demonstrated capability as highly organized, a creative problem-solver. Detail-oriented, self-motivated, and able to work independently as well as within cross-functional teams. Ability to adapt to rapidly changing and high-demand environments. Comfort with probability, statistical testing, confidence intervals, linear algebra, data analysis, and experience processing or analyzing biological data. Excellent written and oral communication skills. LICENSES, CERTIFICATIONS, and/or REGISTRATIONS (if applicable):. Master's degree in Biostatistics, Computer Science, Neuroscience, Data Science, or related field","Working under the Neuroscience Data Center Director and Co-Director and supported by the Project Manager, this individual enables highly granular retrospective and prospective studies using MGH's data archives and via continual capture of new data. Projects may include analysis of structured and unstructured EHR data as well as imaging and time series physiology (blood pressure, intracranial pressure, ECG telemetry, and EEG). Meeting with users to understand user stories and develop a project plan. Developing and deploying tools that interact with clinical information systems and existing databases and software systems. Performing analysis of data both for individual project and at scale. Generating confidence intervals as measures of precision, while analyzing data from different sources, including structured, unstructured, imaging, and waveform data. Curating specific AI-ready dataset. Optimization of machine learning and deep learning pipelines. Developing software that generates insightful summaries of large & complex datasets. Under general direction, developing innovative analytical methods to help collaborators interpret results and design follow-up research. Visualizing data for analysis as well as in business intelligence platforms (Tableau). Working with healthcare data and understanding concepts such as admission, discharge, and transfer information, medications, route, orders, as well as high-resolution physiologic waveform signal. Providing support to neurology researchers to develop and implement data-analyses. Contribute to manuscript preparation and project-team reports. Actively participate in project team meetings and provide necessary technical tutorials to elevate the team's understanding of modern software stacks. Design, write, test, tune, document, deploy, maintain and support new features, analysis methods and infrastructure. Maintain computing infrastructure and software deployments. Mentor teammates with less engineering experience and share knowledge of computer science best practices with the team. Leverage systems developed by data engineers including cloud-based analysis, and federated learning. Refine software development processes and best practices. Generating figures for visualization. Presenting findings in group meetings. The Data Scientist will work within a team of physicians, clinical research coordinators, and physician-scientist neurologists. Work will be performed in the Center for NeuroTechnology and Neurorecovery Laboratory space, in collaboration and with other academic hospitals on the Massachusetts General Hospital main campus",https://www.sonicjobs.com/us/jobs/boston/data-scientist/data-scientist-63f04bff6e7d7e596608025f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Data Scientist,Pfizer,"Groton, CT",via Adzuna,,"Knowledge of fundamental descriptive and inferential statistics models. Strong computational/programming skills: proficient in programming with R, Python, SQL or equivalent, knowledge of a variety of commercial computational packages, familiar with Linux, AWS, cloud computing and high performance computing environment. Knowledge of data visualization tools such as Spotfire or Tableau. Good team player with demonstrated ability to build effective working relationships within and across sites with customers and partners. The flexibility to balance many projects and customers simultaneously. The ability to be independent and learn new skills quickly. Demonstrated ability to independently develop and deploy statistical / computation applets using Python and R. Exceptional oral and written communication skills. Coursework in a scientific discipline (chemistry, biology, engineering). Prior experience working in pharmaceutical research and development. Experience in ML/AI development and deployment. Experience in text mining","Bridge statisticians, analytical scientists and partner line subject matter experts (database, informatics) to enable data connection with data-driven models and computational applications. Work with statisticians and analytical scientists to extract historical data from structured and unstructured databases, create machine readable data format, and turn data into information for portfolio support. Member of the community of data standardization/formatting, working with partner lines to identify use cases and good practice. Demonstrate leadership in influencing and improving workflows by identifying the data-analytics problems, and implement quantitative methods as needed to solve problems in pharmaceutical research. Relocation support available",https://www.adzuna.com/details/3890060954?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkRWBJqRwMe9sOQD6H8o9sadEkSvLCfLjkIMkJ&s=0
"Data Science Graduate Intern (Atlanta, GA)",Kaiser Permanente,"Atlanta, GA",via Built In,,"Machine learning. Deep learning. NLP. Python. Experience with search & recommendations would be a bonus, but is not required. N/A. Bachelors degree required. Pursuing a graduate degree or have completed a graduate program from an accredited university within the last year. Aptitude to perform data and process analytics and formulating solutions. Proven ability to build effective working relationships as well as strong interpersonal skills. Working knowledge of MS Word, Excel, PowerPoint. Ability to learn quickly and experience producing high quality work in short periods of time","In particular, the Search team works to understand search query intent, providing the most relevant search content and navigation links to help our users leverage the KP website for better health information and service. Search data scientists build models that classify user intent, re-rank search results for improved relevancy, and analyze performance and user behavior to identify improvements and develop behavioral models. Technical contributions to search personalization. Other projects related to query understanding. Contributing to a designated project or initiative to meet a KP business objective. Working Hours Start: 08:00 AM. Pay Range: $54100 - $69960",https://builtin.com/job/internship/data-science-graduate-intern/1632982?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtBD0z0y2moWBzhXEu6ByHEhx0vv5b-c4KTZJ1l2guPrJxzdzPQ3eCws8&s
Data Scientist II,Cox Communications,"Marietta, GA",via My ArkLaMiss Jobs,,"Bachelor's degree in Data Science, Machine Learning, Statistics, Mathematics, Computer Science, Operations Research, Analytics, Engineering, or related technical discipline and 2 years of related experience OR MS degree (Data Science, Machine Learning, Statistics, Mathematics, Computer Science, Operations Research, Analytics, Engineering or related technical discipline) and 2 years of related experience. Strong programming skills and ability to utilize a variety of software/languages/tools. Familiarity with database technology such as Oracle, Hadoop/EMR, etc. Ability to successfully comprehend and communicate business insights","This role will be responsible for developing actionable insights and building advanced analytics solutions for Cox Communications' lines of businesses. The Data Scientist is required to have strong development, systems, and problem-solving skills to enable data-driven decision making. Identify, research, interpret, catalog, source, manipulate, and enrich Cox Communications' structured and unstructured data assets to facilitate effective analytics. Use foundational data science methodologies to identify relationships/drivers of key metrics to improve customer experience, network performance, proactive labor routing, quality of service or operating cost. Build and maintain processes and functionalities for analytics solution needs. Prepare documentation and visualizations. Keep up to date on new technologies, standards, and practices. First, we offer a highly competitive compensation package (base salary + excellent commission plan rewarding strong performance), 401(k) with a generous company match, comprehensive healthcare, life, and disability benefits, plus numerous other benefits, including adoption assistance, pet insurance, and discounts on travel and cars!. We also offer boundless opportunities for growth; you can sharpen your skills, learn a new talent, join a mentoring program, even earn an advanced degree. Benefits of working at Cox may include health care insurance (medical, dental, vision), retirement planning (401(k)), and paid days off (sick leave, parental leave, flexible vacation/wellness days, and/or PTO)",https://jobs.myarklamiss.com/jobs/data-scientist-ii-marietta-georgia/918401063-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Senior Analytics Consultant - Enterprise Analytics & Data Science,WELLS FARGO BANK,"Charlotte, NC",via Glassdoor,,"4+ years of Analytics experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education. 3+ years business intelligence experience. This role does sponsor for H1B Visa and Transfer of H1B Visa for candidate's with Master's degree or higher","Review and research moderately complex business, operational, and technical challenges that require an in-depth evaluation of variable factors. Perform complex financial and economic analysis and model development. Plan, coordinate, and execute primary and secondary customer market projects. Manage or participate on large cross group projects and mentor less experienced staff. Collaborate and consult with peers, colleagues, external contractors, and managers to resolve issues and achieve goals","https://www.glassdoor.com/job-listing/senior-analytics-consultant-enterprise-analytics-and-data-science-wells-fargo-JV_IC1138644_KO0,65_KE66,77.htm?jl=1008469631578&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkz0hI_DhMmAPtatbG94eh5lmfnTS95LTqYUiFlCw&s
AI/ML Health Data Scientist- Consultant,Guidehouse,"Fayetteville, GA",via Nexxt,,"Security clearance: Ability to obtain a Public Trust clearance. US Citizenship is contractually required for this position. Minimum years of relevant experience: 1-3. Education: B.S./B.A. in Statistics, Mathematics, Operations Research, Computer Science, Information Systems, Engineering, Economics, Data Science, Data Analytics, or similar quantitative discipline. Experience working with analytical models, methods, applications, and tools, such as:. Proficiency in Geographic Information Systems (GIS) and working with spatial datasets. Proficiency in ArcGIS or QGIS. Basic proficiency in an analytics programming language, such as R, Python, or SAS. Visualization skills with tools such as Tableau, Power BI, or R Shiny. Skills/capabilities/knowledge applying advanced analytical approaches to health insurance claims data, such as :. Analyzing large and complex claims data sets, with strong aptitude for conducting quantitative and qualitative analysis. Proficiency with SAS and SQL. Selected Candidate must be able to work Eastern Standard Hours. Education: M.S./M.A. in Statistics, Mathematics, Computer Science, Economics, Business, Healthcare Administration, Public Health, Data Science, Data Analytics, or similar discipline. Contributing as a team member: understanding personal and team roles, contributing to a positive working environment by building strong, collaborative relationships with team members. Collaborating and working in a team environment, as well as the ability to work independently. Communicating effectively to various audiences, including various levels of management and external clients, in a professional environment. Knowledge of the healthcare sector, including such domains as public health, payer, provider, and pharmaceutical/life sciences","The Health Insurance Claims Analytics Senior Consultant focuses specifically on applying healthcare administrative data, such as claims, to address our clients’ challenges across the healthcare sector, including public health, payer, provider, and the pharmaceutical/life sciences industry. Selecting and applying the appropriate analytical techniques. Analyzing large and complex data sets, with strong aptitude for conducting quantitative and qualitative analysis. Statistical analysis, predictive modelling, simulation, and machine learning. Identifying and addressing client needs, building relationships with clients, demonstrating flexibility in prioritizing and completing tasks, communicating potential conflicts to a supervisor. Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace. Medical, Rx, Dental & Vision Insurance. Personal and Family Sick Time & Company Paid Holidays. Position may be eligible for a discretionary variable incentive bonus. Parental Leave and Adoption Assistance. 401(k) Retirement Plan. Basic Life & Supplemental Life. Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts. Short-Term & Long-Term Disability. Student Loan PayDown. Tuition Reimbursement, Personal Development & Learning Opportunities. Skills Development & Certifications. Employee Referral Program. Corporate Sponsored Events & Community Outreach. Emergency Back-Up Childcare Program. Mobility Stipend",https://www.nexxt.com/jobs/ai-ml-health-data-scientist-consultant-fayetteville-ga-2443859662-job.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&aff=2ED44C72-8FD2-4B5D-BC54-2F623E88BE26&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzTsV7KUb2sCtD89vr_joyy8U8aEi17a5NVsRGBKilylOQnyvQztVt0g&s
Data Scientist,Virtual Company,"Fort Bragg, NC",via Careers At Geologics,,"U.S. Citizen with active DoD TS/SCI clearance. Bachelor of Science and 11+ years of experience or Master of Science and 9+ years of experience. Applied statistics, text mining, natural language processing, deep learning, optimization, and other similar fields. Work on datasets with applied statistics and machine learning algorithms;","Perform exploratory research and analysis to identify novel and meaningful patterns in data and uses statistical methods to reject or accept proposed hypotheses about relationships or latent predictive factors discovered through their work to provide business value. Use a combination of tools, technologies, and numerical computing systems (i.e.: GPU processing, distributed computing, highly parallel coding, cloud computing, machine learning, visualization, system modelling and simulation) to achieve results. Perform exploratory data analysis (EDA) to determine how to handle missing data and to look for trends and/or opportunities. Solving business problems through undirected research and framing open-ended enterprise questions. Employ sophisticated analytical methods, machine learning and statistical methods to prepare data for use in predictive and prescriptive modeling. Extract immense volumes of structured and unstructured data. Query structured data from relational databases using programming languages such as SQL. Gather unstructured data through web scraping, APIs, and surveys. Thoroughly clean data to discard irrelevant information and prepare the data for preprocessing and modeling. Discovering new algorithms to solve problems and build programs to automate repetitive work. Recommend cost-effective changes to existing procedures and strategies. Analyze, process, and model data then interpret the results to create actionable plans for the enterprise and other organizations. Develop predictive models and new algorithms to solve data / business problems;. 'In compliance with the Equal Pay for Equal Work Act, the W2 hourly rate range for this role is $50.00 - $60.00. GeoLogics offers a variety of benefits including: wellness and disability insurance, 401(k), flexible spending accounts, EAP, and PTO",https://careers.geologics.com/job/1013/data_scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
