title,company_name,location,from,Benefits,Qualifications,Responsibilities,thumbnail,applyLink,description
Sr. Frontend Developer,TIGI HR ®,"Bengaluru, Karnataka, India",via LinkedIn,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqtE7IBepft31PSrn9rMDhhLu5bzTUaXXcjkhL_Gc&s,https://in.linkedin.com/jobs/view/sr-frontend-developer-at-tigi-hr-%C2%AE-3481610152?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"We are hiring a Web3 Senior Front-End Developer for our Esteemed client company who can join us Immediately.

Position: - Senior Front-End Developer

Experience: - 4– 6 Years

CTC: - 12 - 20 LPA

Notice Period: - Immediate to 45 Days

Job Location: - Bangalore (WFO)

Must Have: -

· Relevant work experience in development.

· Tech enthusiast and not constrained by any one language.

· Working knowledge of ReactJs, NodeJS and React Redux.

· Proficient with Web fundamentals like HTML5, CSS, Typescript and JavaScript.

· Proficient with frontend concepts like client-side routing, server-side rendering, single-page applications, progressive web apps etc.

· Strong understanding of OOPS modelling.

· Understands and familiar to Java, Spring Boot Frameworks.

· Knowledge of web packaging concepts, build tools etc. (Webpack, Babel, Gulp, Lazy loading, gzip,etc.) and web security and authentication concepts.

· Understands and familiar with NoSQL and SQL databases (MySQL, MongoDB... PostgreSQL, etc.)

· Knowledge of Code versioning tools and concepts.

Nice to Have: -

· Knowledge of XP frameworks.

· Understands BDD.

· Coached, mentored, and run a team while following prescribed or best practices.

· Balancing long-term value and short-term deadlines.

· Prior experience working in a startup and building enterprise applications/solution from scratch"
Senior Software Engineer (FrontEnd Developer),Maersk Line,"Bengaluru, Karnataka, India",via Maersk,,,,,https://www.maersk.com/careers/vacancies/wd/Senior-Software-Engineer--FrontEnd-Developer-_R57469/jt-senior-software-engineer-(frontend-developer)?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Role : Software Engineer (Front end)

Who we are

Maersk is well established as the world’s largest operator of container shipping and marine container terminals, with over 80,000 employees and operating in 130 countries worldwide.

We are rapidly transforming ourselves into the world’s leading global integrator of container logistics by building on our traditional strengths and creating synergies and simplifying global supply chains for our customers across ocean, terminals and logistics & services.

Technology and data are critical enablers of this digital transformation, as we seek to digitally enable and connect our physical supply chain assets in our terminals, our vessel fleet and inland logistics services through an ambitious agenda of standardisation, automation and IoT enablement.

In support of this strategy, we have recently restructured our global technology organisation to be based around a joint business and technology platform operating model, which embeds innovative... agile, digital and data product engineering at the heart of our business.

APM Terminals

The Maersk group operates one of the most comprehensive marine container terminals networks in the world, under the brand of APM Terminals, with over 20,000 employees operating 76 terminals in 36 countries and growing.

APM Terminals (APMT) plays a critical role in enabling the global Maersk Ocean and Logistics network as well as serving other Shipping Lines, Beneficial Cargo Owners, Freight Forwarders, intermodal logistics providers and integrating with a wide variety of local port authorities, customs and government bodies across our global network of transhipment, import and export gateway terminals.

In support of the broader Maersk strategy, we are accelerating the transformation of our business from a portfolio of independently operated terminals, into a safer, better, bigger global terminals operator.

This transformation is enabled by an ambitious programme to modernise our technology landscape, digitise our operations and our customers’ experience and optimise our end-to-end operations and customers’ journeys through automation, digitised assets and data analytics.

In support of this strategy, we are implementing a new technology organisation across APMT that will accelerate this journey by strengthening our internal engineering and data analytics capabilities and further embed an agile DevSecOPS operating model at scale.

APMT - Customer Products & Services Platform Portfolio

As part of this new technology organisation a new global Customer Products & Services platform portfolio team has been created with a variety of roles being recruited across architecture, design, full stack DevSecOPS engineering and agile delivery at scale.

The Customer Products & Services platform portfolio team has end-to-end accountability for all data and technology enabled customer outcomes and enabling commercial capabilities across the APM Terminals business.

This directly supports APM Terminals ambitious growth strategy built on a customer-centric focus which will deliver industry leading customer care, commercial excellence, and added-value products & services that help our customers optimize their own supply chains.

This is enabled by an integrated portfolio of platforms and products across digital customer channels, gate solutions, data products & services, customer self-service, sales, marketing, customer care, contract management, pricing, order to cash, customer master data management and 360 view of customer analytics.

What We Offer

This position offers a unique opportunity to develop and apply your cutting-edge knowledge and passion of software engineering, data and data science that will transform the transport and logistics industry.
• We operate in a fast-paced environment utilizing modern technologies and bias toward action.
• We value customer outcomes and are passionate about using technology to solve problems.
• We are a diverse team with colleagues from different backgrounds and cultures
• We offer the freedom, and responsibility, to shape the setup and the processes we use in our community
• We support continuous learning, including through our active community of practices, conferences, workshops and meetups.

This is an extremely exciting time to join a dynamic team and solve some of the toughest problems in the industry and build the future of trade & logistics. We focus on our people and the right candidate will have broad possibilities to further develop competencies in an environment characterized by change and continuous progress.

About the Role:

We are strengthening APMT’s software development organisation, focusing on driving ownership, predictability, and agility in our technology. We are hiring Front-end Engineers with JavaScript skills working as a key member of our agile teams.

In this role, you will have long-term ownership of one or more applications covering build, test, transition, and operation for APMT’s customer-facing systems.

Do you want to be supported in your development as a senior engineer? You will work alongside other developers, mentoring them and learning from them and from the wider APMT technology teams around the world. We pride ourselves on our brands and identity that builds on our heritage. This role is an opportunity to be part of APMT digital evolution.

Your considerable skills will be applied to applications built in modern SPAs built in VueJS, backed by micro-service APIs.

The role will involve:
• Hands-on implementation of client-side code
• Practicing effective agile software development; participating in pair programming, regular communication and supporting a culture of end-to-end ownership
• Following software standards to ensure quality throughout the development lifecycle
• Build new capability across the team toolset, including writing tests and reviewing code for other team members.
• Taking part in sprint planning, backlog refinement and task estimation

Key responsibilities
• Responsible for the quality and implementation (supportable, maintainable, scalable, performant, secure) of your own work
• Participation in the elaboration of user stories (technical and functional). Agree stories are sufficiently described for their implementation, verification, and delivery.
• Working collaboratively; pairing on tasks, peer review of team members’ code and constructive feedback for improvement in both the code base and team capability
• Keeping builds green by writing testable code
• Active participation in retrospectives to make continual improvements within your team
• Technical support during release activities

Who We are looking for

The key skills that will be required by the Front-end Engineer
• Ability to manage your own task progress and communicate issues to product management and testers
• Good critical reasoning and analytical skills; takes ownership and sticks to the problem until it is solved
• Having a can-do attitude and being comfortable with tight delivery deadlines and managing priorities
• Customer-focused, whether responding to support queries or developing new features and functionality
• Ability to work independently and with others in a team environment
• Solid written and verbal communication skills. Able to articulate technical issues to peers
Experience
• Experience of web user interface development in a commercial or open-source setting. Providing links to your work is a bonus
• Working knowledge of front-end development languages, tools, and methodologies – HTML, CSS, JavaScript and associated technologies and toolsets
• Some hands-on experience of using a front-end development framework, such as Angular, VueJS or React. Our preference is VueJS, but experience in any of them is a plus.
• The ability to write front-end code to be cross-browser and cross-device friendly through responsive or adaptive techniques
• Working with and contributing to open-source projects
• Experience developing UIs for multi-lingual websites
• Experience using Continuous Integration (CI) / Continuous Delivery (CD) systems for deployment
• Knowledge of Test-Driven Development (TDD)

We’d be thrilled if you tick off all our boxes yet we also believe it’s just as important we tick off all of yours. And if you think you have most of what we’re looking for but not every single thing, go ahead and hit apply. We’d still love to hear from you"
Front End Developer,Green Apple Solutions Pvt. Ltd.,"New Delhi, Delhi, India",via JobGrin,,,,,https://jobgrin.co.in/c/Green-Apple-Solutions-Pvt-Ltd/jobs/Front-End-Developer-0HyhuVKHfp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"• Strong development experience with Frontend end JavaScript frameworks such as any one of Vue.js, AngularJS, ReactJS
• Strong proficiency with JavaScript (ES6 and beyond) & TypeScript
• Understanding of front-end technologies, such as HTML5, CSS3/SCSS, jQuery
• Experience with RESTful APIs
• Strong understanding of Promises and asynchronous programming
• Proficient understanding of code versioning tools, such as Git
• Strong Academic & Technical Background
• Good communication skills"
Frontend Developer - React,Element5,"Chennai, Tamil Nadu, India",via Greenhouse,,,,,https://boards.eu.greenhouse.io/element5/jobs/4050836101?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What are we looking for

Element5 is looking for a Frontend Developer who is involved in creating components for challenging projects while leveraging the latest tech stacks. You will collaborate with highly talented peers with varied expertise, and freely suggest solutions to address bottlenecks.

If you are passionate about technology and architecture, love hands-on development and want to build scalable systems with an organization whose values and actions support your growth and guide your daily actions, we want to work with you.

What your role will look like
• Provide an efficient interface with sales and service delivery
• Maintain high levels of engagement with the customers during the on-boarding period, ensuring consistent satisfaction and stickiness
• Develop all project goals and milestones to allow clear visibility of project implementation status
• Cultivate a keen eye and forecast upcoming roadblocks that could affect client issues and proactively work on mitigating... them

What's in it for you
• Be ahead of the curve - we started working on Angular, React, and Vue while the world was still on AngularJS and .NET; we are constantly hunting for the next big thing
• Collaborate with client teams on their consumer and SaaS products
• Work with a team that cares about fundamental principles of frontend design
• Learn cutting edge technologies as you work with leading Silicon Valley start-ups, and evaluate new tools and technologies
• Work in a company that values capability over experience
• You will have the opportunity to freely table your ideas and make a significant impact on the product, rather than being a small cog in a big wheel

What we ask you to bring with you
• Strong MVCC frontend development experience in frameworks like Angular (plus the NGRX Library), React, and Vue
• Strong foundation skills in HTML5, CSS3, SASS, LESS, SCSS, Javascript, and OO Javascript (OOJS)
• If you don’t have experience with MVCC frameworks like Angular, we will be happy to consider you for your strong fundamental skills in HTML5, CSS3, JS
• Experience in building reusable components using modern techniques
• Experience in TDD (Testing Driven Development)
• Knowledge of responsive design techniques, high proficiency with security and performance optimization techniques
• Experience in Source Control and Continuous Integration (Git, GitLab, BitBucket, Jenkins)
• Strong problem solving, debugging, and troubleshooting skills

Minimum requirement: Bachelor's Degree. Master's degree preferred.

Good to have
• Experience in AWS, Azure, and other cloud-based tools
• Experience in building PWA (Progressive Web App) applications
• Micro frontend experience across frameworks, e.g., Federation modules in Angular
• Experience in databases like MySQL, Oracle, PostgreSQL, SQL Server, NoSQL, etc.
• Experience in writing backend APIs using Java or Node, Python
• Experience in building hybrid applications using Ionic, React Native, etc.
• 4+ years of overall experience with a proven track record as a frontend developer

What our interview process looks like

Round 1: Discussion

Round 2: Assessment

Round 3: Meet with our Technical panel

Round 4: HR Round"
Frontend Developer (React.js),Alpha Nodus,Anywhere,via AngelList,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLt6M5ZWQvsgYSLGzWCRfWnWZDY-siuv1r2U2Abe7SyPWU9Lk6JXhDWxk&s,https://angel.co/company/alpha-nodus/jobs/312587-frontend-developer-react-js?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Responsibilities:

As a Frontend Developer for Alpha Nodus you’ll be part of an agile development team and will mostly be developing parts of the product that will be consumed by services and apps of our platform

• Build the product with an iterative, small-steps approach

• Work closely with the Back-End Developers & Architects and integrate APIs

• Work in a modern ES6 environment.

• Develop new user-facing features using the React & React native library.

• Build reusable, clean code with performance and simplicity in mind.

• Ensure the technical feasibility of UI/UX designs.

• Optimise applications for maximum speed and scalability

Requirements:

At least 5 years of Frontend development experience with good communication skills, and a Bachelor’s or Master’s degree in information technology (or similar). Naturally, you’ll need to be familiar with the following:

• Strong understanding of React library best practices and conventions.

• Proven experience with Redux, React... React Native and Node.js (with working examples to show if possible)

• Ability to write code in ES6 standard

• Experience developing on iOS and Android is a plus

• Responsive design

Alpha Nodus focuses on Healthcare. Their company has offices in Austin, Bengaluru, and Fort Lauderdale. They have a small team that's between 11-50 employees.

You can view their website at http://www.alphanodus.com or find them on Twitter, Facebook, and LinkedIn"
Senior Frontend Developer,Cuemath,"Bengaluru, Karnataka, India",via LinkedIn,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO_Be1dML2d2hl9EwwBp0daxPv-M1mVz8VEpugO-Q&s,https://in.linkedin.com/jobs/view/senior-frontend-developer-at-cuemath-3476747861?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"We are looking for a Senior Frontend Developer' who is motivated to combine the art of design with the art of programming. Implementing visual elements and their behaviors with user interactions will be one of your responsibilities. You will work with both front-end and back-end web developers to build all client-side logic. You will also be bridging the gap between the visual elements and the server-side infrastructure, taking an active role on both sides, and defining how the application looks and functions.

Responsibilities:
• Develop new user-facing features in both web and native JavaScript apps.
• Build reusable code and libraries for future use.
• Ensure the technical feasibility of UI/UX designs.
• Optimize applications for maximum speed and scalability.
• Assure that all user input is validated before submitting to back-end services.
• Collaborate with other team members and stakeholders.

Qualifications:
• 4+ Years of experience.
• Strong understanding of JavaScript, its... quirks, and workarounds.
• Basic understanding of web markup, including HTML5 and CSS3
• Good understanding of any one of Angular/React/Vue.js .
• Understanding React Native is a plus.
• Good understanding of asynchronous request handling, partial page updates, and AJAX.
• A proficient understanding of cross-browser compatibility issues and ways to work around such issues.
• Familiarity with front-end build tools, such as Yarn, Grunt, and Gulp.js .
• Proficient understanding of code versioning tools, such as Git.
• Good understanding of browser rendering behavior and performance"
FRONTEND DEVELOPER,Enigmasoft Technologies Private Limited,"Goa, India",via Foundit.in,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUKP8d4Y4RV712FpTEbjIvJcGgGYohcWb-QqB1&s=0,https://www.foundit.in/job/frontend-developer-enigmasoft-technologies-private-limited-goa-7192396?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"JOB TITLE: FRONTEND DEVELOPER LOCATION: PANJIM-GOA EXPERIANCE: 3+YRS IMMEDIATE JOINER PREFERD SALARY BEST IN INDUSTRY Requirements
Key Skills HTML5 CSS3 JavaScript React/Angular Framework JSON structure Responsibilities and Duties Build customer-facing products and features with modern tools like React/Angular, web components. Build reusable widgets that can be plugged into other systems. Write high-quality, well-tested code to meet the requirements of your customer. Design and Develop Web Application according to Wireframes provided. Collaborate with back-end developers and web designers to improve usability. Implement wen design principles to ensure that the websites render will across multiple devices. Monitor website performance watch for traffic drops related to site usability problems and rectify the issue. Review app and feature coding; and plan future websites upgrades with the development team. Assist in the development of the application and feature that will be in the... website. Prioritize task based on the requirements of stakeholders. Support Junior developers at work. Skills and Qualifications Development with a modern JavaScript framework such as React/Angular. Understanding of JSON structure. Experience working with 3js and After Effects. Proficient understanding of web mark-up such as HTML5 and CSS3. Good understanding of asynchronous request handling, partial page updates, and AJAX Some exposure to Continuous Integration/Delivery pipeline for cloud, including Azure Good understanding of SEO principles and ensuring that application will adhere to them. Preferred Qualifications
Degree – BE / B.Tech / MCA / ME / MTech General Description
About us Enigmasoft Technologies Pvt. Ltd is an IT outsourcing company headquartered in UK having its presence in India, Panaji, Goa. We are known for office ethics, amazing work culture and a great work environment. We appreciate out-of-the-box thinking and welcome suggestions that add value to the business. We are one of those companies who walk the talk and that makes us stand out in the market with our amazing set of employees and strong clientele. We deliver exceptional technology solutions for world-class businesses in every industry, from dynamic startups to stable establishments. We work in various domains like Fin-tech, Architecture, Blockchain, Energy, Gas, Pharma, Human Resources and Staffing. We believe socializing is a part of work life balance and follow the mantra of work hard and party harder. At Enigma, we believe in saving planet earth and much emphasis is given to the burning social issues such environment, harmful climate impacts and its changes. Our Culture Enigmasoft Technologies thrives to give its employees a very supportive and Non-Toxic environment with a strong emphasis on maintaining a healthy work-life balance. We take pride in our excellence in creating an individual to an advanced professional with strong skill sets. Enigma believes and respects each employee, has a wide range of culture, creativity and has driven innovation which creates a healthy work environment and makes it an outstanding place to work with. In addition, our organization promotes a healthy gender balance. 
Why Join us Working at Enigmasoft Technologies is a rewarding experience! Happy, amazing and ethical work culture, great work environment, out of the box thinking employees, creativity in different aspects of work, Happy employees and the growth opportunity to take on roles that go beyond a job description are the few reasons why we...!!! If you are someone who wants to be challenged, grow, develop, and truly be a part of an incredible journey"
Frontend Developer,Infra.Market,"Hyderabad, Telangana, India (+1 other)",via Bigshyft.com,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQswmXWtozDldtK_Xrp-RsMJxlbLVnENnLejoDSyXU&s,https://www.bigshyft.com/frontend-developer-job-in-infra-dot-market-chennai-hyderabad-4-to-9-years-1024217-20230213-jid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What makes you a great fit:
• Good problem solving skills.
• Strong knowledge of CS fundamentals, data structures.
• Experience in working with front end technologies and/or front end frameworks like React, React Native, Angular, Flutter.
• Experience working in software development with one or more of the following programming languages; Kotlin, Java, JavaScript, Swift, C/C++.
• Experience in building and delivering mobile/web applications.
• Must have hands on experience in Restful APIs.
• Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
• Ability to ship features on a weekly basis: should be good at time management and prioritization.
• Hands-on experience in CI/CD principles and TDD."
Associate - Frontend Developer,TIAA GBS India,"Pune, Maharashtra, India",via TIAA Careers,,,,,https://careers.tiaa.org/tiaagbs/global/en/job/R230101109/Associate-Frontend-Developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Senior Software Developer
The Senior Software Developer focuses on developing multiple types and categories of software including end-user applications and operating systems software that provides a platform for running end user applications. While working independently with limited supervision, this job applies up-to-date information on the detailed technical design and development of applications using existing and emerging technology platforms.

Key Responsibilities and Duties
• Conducts requirements gathering and analysis to understand the domain of the software problem and/or functionality, the interfaces between hardware and software, and the overall software characteristics.
• Uses programming, scripting, and/or database languages to write software code.
• Consults with systems engineers and architects on developing information technology (IT) standards for the business while facilitating the translation of client requirements into technical designs for large IT solutions.
•... Models key business processes and critical paths while assessing the impact of technology on business processes.
• Supports software testing, deployment, maintenance, and evolves activities by correcting programming errors, responding to scope changes, and coding software enhancements
• Maintains records for the documentation of systems development and revisions.
• Reviews the work of lower level professionals.
Educational Requirements
• University (Degree) Preferred
Work Experience
• 3+ Years Required; 5+ Years Preferred
Physical Requirements
• Physical Requirements: Sedentary Work

Career Level
7IC

Skill required -
• Must have - Good understanding of JavaScript libraries and frameworks, such as AngularJS, HTML5, CSS3, JavaScript, ES6.
• Should have knowledge of build tools like webpack, Gulp, Grunt, Yarn.
• End to end testing, unit testing using protractor, karma, Jasmine.
• Proficient in asynchronous request handling, partial page updates, and AJAX
• Understanding of CSS pre-processing platforms, such as LESS and SASS
• Understanding of SEO and ADA principles.
• Good to have – Experience in CI/CD pipeline integration, automation.
• Good problem-solving skills, and excellent verbal communication skills.

Responsibility -
• Develop new user-facing features
• Build reusable code and libraries for future use
• Ensure the technical feasibility of UI/UX designs
• Optimize application for maximum speed and scalability
• Assure that all user input is validated before submitting to back-end
• Collaborate with other team members and stakeholders

_____________________________________________________________________________________________________

Company Overview

TIAA GBS India was established in 2016 with a mission to tap into a vast pool of talent, reduce risk by insourcing key platforms and processes, as well as contribute to innovation with a focus on enhancing our technology stack. TIAA GBS India is focused on building a scalable and sustainable organization , with a focus on technology , operations and expanding into the shared services business space.

Working closely with our U.S. colleagues and other partners, our goal is to reduce risk, improve the efficiency of our technology and processes and develop innovative ideas to increase throughput and productivity.

We are an Equal Opportunity/Affirmative Action Employer. We consider all qualified applicants for employment regardless of age, race, color, national origin, sex, religion, veteran status, disability, sexual orientation, gender identity, or any other protected status.

Accessibility Support

TIAA offers support for those who need assistance with our online application process to provide an equal employment opportunity to all job seekers, including individuals with disabilities.

If you are a U.S. applicant and desire a reasonable accommodation to complete a job application please use one of the below options to contact our accessibility support team:

Phone: (800) 842-2755

Email: accessibility.support@tiaa.org

Privacy Notices

For Applicants of TIAA, Nuveen and Affiliates residing in US (other than California), click here.

For Applicants of TIAA, Nuveen and Affiliates residing in California, please click here.

For Applicants of Nuveen residing in Europe and APAC, please click here.

For Applicants of Greenwood residing in Brazil (English), click here.

For Applicants of Greenwood residing in Brazil (Portuguese), click here.

For Applicants of Westchester residing in Brazil (English), click here.

For Applicants of Westchester residing in Brazil (Portuguese), click here"
Front End Developer,Qualibar,Anywhere,via Glassdoor,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsi9TKQ2rq1ZCIfa8Wd4zUT8V3kExNrXr-Ztp8wA0&s,"https://www.glassdoor.co.in/job-listing/front-end-developer-qualibar-JV_KO0,19_KE20,28.htm?jl=1007867237987&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Informations
• Job Type:Full Time
• Location:Remote (WFH)
• Offered Salary:Negotiable
• Experience:4 – 8 yrs
• Industry:IT Services

Job Description :

We are looking for programmers with a keen eye for design for the position of Front End Developer. Front end Developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency and maintaining brand consistency across all web pages, among other duties.

Front End Developers are required to work in teams alongside Back end Developers, Graphic Designers and User Experience Designers to ensure all elements of web creation are consistent. This requires excellent communication and interpersonal skills.

Required Knowledge, Skills, and Abilities :
• Perform a mix of maintenance, enhancements, and new development as required.
• Work in various types of web applications using node with MySQL/MySQL DB.
• Document features, technical specifications & infrastructure... Responsibilities.
• Work cross-functionally to convert business needs into technical specifications.
• Building reusable code for future use.
• Utilizing a variety of markup languages to write web pages.
• Maintaining brand consistency throughout design.

REQUIREMENTS
• A computer science or relevant degree with 4 to 8 years of Proven experience as a front end Developer.
• Working on front-end application such as Reactjs/Vuejs/Angularjs.
• Working knowledge of HTML5, CSS 3, JavaScript, and jQuery.
• Understanding of server-side CSS.
• Experience with graphic design applications .
• Understanding of SEO principles.
• Good problem solving skills.
• Excellent verbal communication skills.
• Good interpersonal skills.

GOOD TO HAVE:
• Experience working with the healthcare industry.
• Experience integrating with Mobile Wallet APIs"
Front End Developer,Qualibar,Anywhere,via Glassdoor,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsi9TKQ2rq1ZCIfa8Wd4zUT8V3kExNrXr-Ztp8wA0&s,"https://www.glassdoor.co.in/job-listing/front-end-developer-qualibar-JV_KO0,19_KE20,28.htm?jl=1007867237987&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Informations
• Job Type:Full Time
• Location:Remote (WFH)
• Offered Salary:Negotiable
• Experience:4 – 8 yrs
• Industry:IT Services

Job Description :

We are looking for programmers with a keen eye for design for the position of Front End Developer. Front end Developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency and maintaining brand consistency across all web pages, among other duties.

Front End Developers are required to work in teams alongside Back end Developers, Graphic Designers and User Experience Designers to ensure all elements of web creation are consistent. This requires excellent communication and interpersonal skills.

Required Knowledge, Skills, and Abilities :
• Perform a mix of maintenance, enhancements, and new development as required.
• Work in various types of web applications using node with MySQL/MySQL DB.
• Document features, technical specifications & infrastructure... Responsibilities.
• Work cross-functionally to convert business needs into technical specifications.
• Building reusable code for future use.
• Utilizing a variety of markup languages to write web pages.
• Maintaining brand consistency throughout design.

REQUIREMENTS
• A computer science or relevant degree with 4 to 8 years of Proven experience as a front end Developer.
• Working on front-end application such as Reactjs/Vuejs/Angularjs.
• Working knowledge of HTML5, CSS 3, JavaScript, and jQuery.
• Understanding of server-side CSS.
• Experience with graphic design applications .
• Understanding of SEO principles.
• Good problem solving skills.
• Excellent verbal communication skills.
• Good interpersonal skills.

GOOD TO HAVE:
• Experience working with the healthcare industry.
• Experience integrating with Mobile Wallet APIs"
Front-end  Developer,Easebuzz,"Pune, Maharashtra, India",via Startup Jobs,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2Nlgc1QHmdC5FsftvrqYKyB8Q6PX0N_IzUf3z8jc&s,https://startup.jobs/front-end-developer-easebuzz-2595307?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Easebuzz Products: http://easebuzz.in

Easebuzz Youtube Page:
https://www.youtube.com/watch?v=re_ESfqTsIk&list=UUzafjIZHvrCfOlu_0No288A&index=1

Company Profile:

Easebuzz is a payment solutions (fintech organisation) company which enables online
merchants to accept, process and disburse payments through developer friendly APIs. We
are focusing on building plug n play products including the payment infrastructure to solve
complete business problems. Definitely a wonderful place where all the actions related to
payments, lending, subscription, eKYC is happening at the same time.

We have been consistently profitable and are constantly developing new innovative
products, as a result, we are able to grow 4x over the past year alone. We are well
capitalised and have recently closed a fundraise of $4M in March, 2021 from prominent VC
firms and angel investors. The company is based out of Pune and has a total strength of 120
employees. Easebuzz’s corporate culture is tied into the vision of... building a workplace which
breeds open communication and minimal bureaucracy. An equal opportunity employer, we
welcome and encourage diversity in the workplace. One thing you can be sure of is that you
will be surrounded by colleagues who are committed to helping each other grow.

Easebuzz Pvt. Ltd. has its presence in Pune, Bangalore, Gurugram.

Front-end Developer Job Description We are looking for a skilled front-end developer to join our front-end development team. In this role, you will be responsible for developing and implementing user interface components using concepts of React.js & Angular 4 or above. You will also be responsible for profiling and improving front-end performance and documenting our front-end codebase.

To ensure success as a front-end developer, you should have in-depth knowledge of JavaScript and React/Angular concepts, excellent front-end coding skills, and a good understanding of progressive web applications. Ultimately, a top-class front-end developer should be able to design and build modern user interface components to enhance application performance.

Front-end Developer Job Description We are looking for a skilled front-end developer to join our front-end development team. In this role, you will be responsible for developing and implementing user interface components using concepts of React.js & Angular 4 or above. You will also be responsible for profiling and improving front-end performance and documenting our front-end codebase.

To ensure success as a front-end developer, you should have in-depth knowledge of JavaScript and React/Angular concepts, excellent front-end coding skills, and a good understanding of progressive web applications. Ultimately, a top-class front-end developer should be able to design and build modern user interface components to enhance application performance.

Front-end Developer Responsibilities: • Reviewing application requirements and interface designs.
• Meeting with the development team to discuss user interface ideas and applications.
• Identifying web-based user interactions.
• Developing and implementing highly responsive user interface components using react concepts.
• Writing application interface codes using JavaScript following react.js/angular workflows.
• Troubleshooting interface software and debugging application codes.
• Developing and implementing front-end architecture to support user interface concepts.
• Monitoring and improving front-end performance.
• Documenting application changes and developing updates.

Front-end Developer Requirements:• Previos experience working as a react.js developer.
• In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.
• Knowledge of REACT tools including React.js, Webpack, Redux, and Flux.
• Experience with user interface design.
• Experience with browser-based debugging and performance testing software.
• Excellent troubleshooting skills.
• Good project management skills.

Employment Type
Full-time"
Frontend Developer,Gameskraft,"Bengaluru, Karnataka, India",via Bigshyft.com,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5T3OCJ6Y4TPwQ3y4TEZoDxDVwow4CT7jk1f5Y728&s,https://www.bigshyft.com/frontend-developer-job-in-gameskraft-bengaluru-4-to-7-years-1024651-20230215-jid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What will you do:
• Aware of frontend and backend performance metrics.
• Working alongside UX designers and Product team to deliver a feature.
• Seeing through a project from conception to finish. (End to end ownership)
• Mentor/Manage a team of SE/SSEs
• Providing technical expertise for every phase of the project lifecycle; from concept development to solution design, implementation, optimization and support.
• Define the charter and best practices for web team
• Manage sprint and release cycles
• Proficient in articulating the pros and cons of using a certain technology stack or component or design pattern versus another to the clients and project team and drives selection of technologies, designs to come up with the optimal architecture.

What makes you a great fit:
• Strong organizational and project management skills.
• Strong experience with Build and Release, Systems Integration, Agile, Estimations/Planning.
• Proficiency with fundamental frontend technologies such as HTML... CSS and JavaScript.
• Expertise in React is a must. React Native is a plus.
• Self-starter and willing to take ownership in assigned areas.
• Be able to work with minimum supervision.
• Excellent verbal communication skills.
• Ready to take up a challenge and innovate on behalf of the users.
• Good problem solving and debugging skills"
Frontend Developer - Mobile,Mouri Tech,"New Delhi, Delhi, India",via Foundit.in,,,,,https://www.foundit.in/job/frontend-developer-mobile-mouri-tech-delhi-10266200?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Qualification Graduation - BE/B Tech/MCA or Equivalent Experience as mobile developer using React Native Static Analysis using Linter Unit testing using Jest Developing new features and user interfaces from wireframe models Ensuring the best performance and user experience of the application Fixing bugs and performance problems Writing clean, readable, and testable code"
